T_days,N,N_maturites_effectives,RMSE_Rough_Heston,RMSE_Heston,MAE_Rough_Heston,MAE_Heston,MAX_ERROR_Rough_Heston,MAX_ERROR_Heston,Gain_RMSE_RH_vs_Heston,Gain_RMSE_RH_vs_Heston_pct,Meilleur_modele_RMSE
1,23,1,0.02245724013210531,0.013006501469842481,0.01731268438430724,0.009899951179154234,0.03565257906336822,0.022452027687373588,-0.009450738662262828,-72.66165066890416,Classical Heston
3,25,2,0.0352710382775256,0.04137232949011826,0.0265638904794233,0.02801698997619638,0.10017639176494819,0.1306821308435211,0.0061012912125926605,14.747275021219071,Rough Heston
7,25,1,0.027449658019865833,0.029047421448187324,0.023582734549964898,0.02624284319742359,0.04003398144109638,0.0399002221211745,0.0015977634283214914,5.5005344662742806,Rough Heston
15,25,1,0.011465884784770501,0.013343003237785664,0.00956139203559832,0.010986861391470324,0.02012051443025431,0.02445635449368938,0.0018771184530151624,14.068185546859535,Rough Heston
31,25,1,0.011472401398408142,0.014600012048996112,0.009303601999848466,0.011445848176047014,0.0203894923519361,0.028422464971323613,0.00312761065058797,21.421973078460734,Rough Heston
66,25,2,0.008154202936719021,0.011624247530698996,0.006279236657114403,0.009978375548621281,0.020201501239979436,0.02056505269948289,0.003470044593979975,29.85177823180192,Rough Heston
94,25,2,0.006030180323907283,0.009373565985952908,0.004697409254178712,0.008401616703901226,0.011133888619655974,0.014326396991138801,0.003343385662045625,35.668236262015704,Rough Heston
129,25,2,0.005578889569925997,0.007098459052594157,0.004379820096714779,0.006219082226782441,0.01264254012146368,0.010923644553288009,0.00151956948266816,21.40703315197441,Rough Heston
185,25,1,0.005419911982007626,0.006274809424737885,0.004098509452744859,0.005377439352769325,0.014056172752306612,0.011250392245414992,0.000854897442730259,13.6242774060978,Rough Heston
220,25,1,0.004114659409899667,0.005708698600505618,0.00318141001978142,0.005299616454346951,0.010650715155643004,0.008913409051389709,0.0015940391906059514,27.922987394443414,Rough Heston
248,25,1,0.004614810244219964,0.0064518140629263926,0.004062655362521559,0.00607945264776364,0.010886472011921805,0.010225408798310215,0.0018370038187064284,28.472671419070718,Rough Heston
276,25,1,0.004877108227917345,0.006780682488684801,0.004323085615468961,0.006236021633823511,0.01243396646781661,0.012219976549841305,0.0019035742607674553,28.07349059543824,Rough Heston
311,25,1,0.00418411566932679,0.006218052699517619,0.003891545324189818,0.005476047623423079,0.009001249343760592,0.011985036905636903,0.0020339370301908294,32.71019286067835,Rough Heston
367,25,1,0.004843528925453991,0.008042662619282317,0.004486810244620459,0.0068021794479420335,0.009489616622002622,0.014495554972403402,0.0031991336938283262,39.77704704606643,Rough Heston
458,25,1,0.004263089291406102,0.009632594525957975,0.003907250047256276,0.007937119547892097,0.0080384714418065,0.017888603898558397,0.005369505234551873,55.74308375673965,Rough Heston
647,25,1,0.0022668357267323254,0.01115053168380665,0.001488182482682533,0.009465115455673485,0.00833964558827932,0.02623302847270631,0.008883695957074325,79.6706041378786,Rough Heston
