Expiration Date,T_days,T,Strike,K_over_S0,Forward,K_over_F0,Option_type,Root,Contract,Market_price,IV_BDD,r_GSW,Discount_factor,IV_market,BS_reconstructed_price,BS_reconstruction_error,IV_BDD_error,IV_Heston,Residual_IV_Heston,Abs_error_IV_Heston
2023-06-16,276,0.7549053159936117,3725,0.946221368553694,4015.898946508069,0.92756318065199,Put,SPX,SPX230616P03725000,217.65,0.2637,0.0377845471416567,0.9718792063957618,0.2618332018079947,217.65000000000052,5.400124791776761e-13,0.0018667981920052,0.2555315168865102,-0.006301684921484474,0.006301684921484474
2023-06-16,276,0.7549053159936117,3825,0.9716232844880212,4015.898946508069,0.952464205635936,Put,SPX,SPX230616P03825000,249.5,0.2556,0.0377845471416567,0.9718792063957618,0.2535334307660803,249.50000000036016,3.601599019020796e-10,0.0020665692339196,0.24769940423521059,-0.005834026530869729,0.005834026530869729
2023-06-16,276,0.7549053159936117,3925,0.9970252004223488,4015.898946508069,0.977365230619882,Put,SPX,SPX230616P03925000,284.85,0.2472,0.0377845471416567,0.9718792063957618,0.2450437718384112,284.85000000000014,1.1368683772161605e-13,0.0021562281615887,0.24012233024777158,-0.004921441590639619,0.004921441590639619
2023-06-16,276,0.7549053159936117,4000,1.0160766373730945,4015.898946508069,0.9960409993578416,Put,SPX,SPX230616P04000000,314.5,0.2414,0.0377845471416567,0.9718792063957618,0.2390400797642355,314.4999999999998,2.273736754432321e-13,0.0023599202357644,0.2346315036945339,-0.004408576069701603,0.004408576069701603
2023-06-16,276,0.7549053159936117,4100,1.0414785533074216,4015.898946508069,1.0209420243417875,Call,SPX,SPX230616C04100000,278.75,0.2326,0.0377845471416567,0.9718792063957618,0.2329896471991669,278.7499999999998,2.273736754432321e-13,0.0003896471991669,0.2276089097495422,-0.005380737449624695,0.005380737449624695
2023-06-16,276,0.7549053159936117,4175,1.060529990258167,4015.898946508069,1.0396177930797472,Call,SPX,SPX230616C04175000,241.4,0.2266,0.0377845471416567,0.9718792063957618,0.227008943455195,241.3999999998332,1.6680701264704112e-10,0.000408943455195,0.22260112093317588,-0.004407822522019128,0.004407822522019128
2023-06-16,276,0.7549053159936117,4275,1.0859319061924944,4015.898946508069,1.0645188180636933,Call,SPX,SPX230616C04275000,196.05,0.2187,0.0377845471416567,0.9718792063957618,0.2192297770899434,196.05000000000015,1.7053025658242404e-13,0.0005297770899434,0.21632751977608236,-0.0029022573138610397,0.0029022573138610397
2023-06-16,276,0.7549053159936117,4375,1.111333822126822,4015.898946508069,1.0894198430476394,Call,SPX,SPX230616C04375000,155.9,0.2112,0.0377845471416567,0.9718792063957618,0.2116331746262633,155.90000000000305,3.0411229090532288e-12,0.0004331746262633,0.2105822644584756,-0.0010509101677876886,0.0010509101677876886
2023-06-16,276,0.7549053159936117,4450,1.1303852590775674,4015.898946508069,1.108095611785599,Call,SPX,SPX230616C04450000,129.2,0.2055,0.0377845471416567,0.9718792063957618,0.2060040209416337,129.1999999999398,6.019718057359569e-11,0.0005040209416337,0.206660412981483,0.0006563920398492962,0.0006563920398492962
2023-06-16,276,0.7549053159936117,4550,1.1557871750118949,4015.898946508069,1.1329966367695448,Call,SPX,SPX230616C04550000,98.6,0.1986,0.0377845471416567,0.9718792063957618,0.1989814971175139,98.60000000000582,5.8264504332328215e-12,0.0003814971175138,0.2019902954773762,0.0030087983598623136,0.0030087983598623136
2023-06-16,276,0.7549053159936117,4625,1.1748386119626402,4015.898946508069,1.1516724055075045,Call,SPX,SPX230616C04625000,79.45,0.1938,0.0377845471416567,0.9718792063957618,0.1942541334536011,79.44999999995161,4.8387960305262816e-11,0.000454133453601,0.1989267239352669,0.004672590481665795,0.004672590481665795
2023-06-16,276,0.7549053159936117,4725,1.2002405278969674,4015.898946508069,1.1765734304914504,Call,SPX,SPX230616C04725000,58.7,0.1884,0.0377845471416567,0.9718792063957618,0.1887956321266526,58.69999999984543,1.545714667372522e-10,0.0003956321266526,0.19544016003029438,0.006644527903641784,0.006644527903641784
2023-06-16,276,0.7549053159936117,4825,1.225642443831295,4015.898946508069,1.2014744554753964,Call,SPX,SPX230616C04825000,42.95,0.1842,0.0377845471416567,0.9718792063957618,0.1845283537793525,42.9500000000005,4.973799150320701e-13,0.0003283537793525,0.19263100157020263,0.008102647790850126,0.008102647790850126
2023-06-16,276,0.7549053159936117,4900,1.2446938807820405,4015.898946508069,1.220150224213356,Call,SPX,SPX230616C04900000,33.4,0.1811,0.0377845471416567,0.9718792063957618,0.181372596694076,33.39999999999975,2.486899575160351e-13,0.0002725966940759,0.19095178817989986,0.009579191485823868,0.009579191485823868
2023-06-16,276,0.7549053159936117,5200,1.3208996285850223,4015.898946508069,1.2948532991651942,Call,SPX,SPX230616C05200000,12.4,0.1751,0.0377845471416567,0.9718792063957618,0.1751658716563423,12.4000000000008,8.01136934569513e-13,6.58716563422812e-05,0.18738584820618362,0.012219976549841333,0.012219976549841333
2023-07-21,311,0.8507300935432353,2825,0.7176041251447478,4026.345921676482,0.7016287360683933,Put,SPX,SPX230721P02825000,65.15,0.3409,0.0378668434954496,0.968298895224149,0.3391581838781059,65.15000000000015,1.4210854715202006e-13,0.001741816121894,0.32779028528276893,-0.01136789859533699,0.01136789859533699
2023-07-21,311,0.8507300935432353,2950,0.749356520062657,4026.345921676482,0.7326742553634549,Put,SPX,SPX230721P02950000,77.94999999999999,0.3282,0.0378668434954496,0.968298895224149,0.3263659074068639,77.94999999983321,1.6677859093761072e-10,0.001834092593136,0.31702406960706314,-0.009341837799800745,0.009341837799800745
