Start,v0_initial,kappa_initial,theta_initial,xi_initial,rho_initial,v0,kappa,theta,xi,rho,RMSE,MAE,MAX_ERROR,N_valid_IV,Success,NFEV,Time_seconds
2,0.08,5.0,0.06,1.5,-0.5,0.07352586351593494,7.248541024108982,0.07320152347980623,1.9860361342064372,-0.6530365228053644,0.015562454901218692,0.010243251536991096,0.13068213084352104,398,True,11,358.6588804721832
3,0.08,20.0,0.06,3.0,-0.4,0.0735221465857497,7.239544112727933,0.07321746276101658,1.9856519925355227,-0.6529323365157067,0.015562457080788641,0.010241817961974247,0.13070754345053914,398,True,12,383.51962327957153
4,0.08,45.0,0.06,5.0,-0.4,0.07352771776453543,7.252980091513312,0.07319760035253887,1.986577432740557,-0.6530591362345732,0.015562457084899553,0.010244442971078316,0.1306576218701801,398,True,15,463.23870277404785
1,0.04,1.5,0.04,0.4,-0.7,0.07351115046230086,7.216939514959815,0.07323106877335304,1.9814119043623037,-0.6531456209698705,0.015562474767282026,0.010232141083183302,0.13086975348789287,398,True,12,357.16503286361694
