Modele,N,RMSE,MAE,MAX_ERROR,Gain_RMSE_RH_vs_Heston,Gain_RMSE_RH_vs_Heston_pct,Gain_MAE_RH_vs_Heston,Gain_MAE_RH_vs_Heston_pct,Meilleur_modele_global
Rough Heston,398,0.01375996556211586,0.00814919618440147,0.10017639176494819,0.00180248933910283,11.582294378001237,0.002094055352589627,20.4432678923039,Rough Heston
Classical Heston,398,0.01556245490121869,0.010243251536991098,0.1306821308435211,0.00180248933910283,11.582294378001237,0.002094055352589627,20.4432678923039,Rough Heston
