Modele,N,Jours_utilises,Intercept,Beta_estime,R2,H_implicite_beta_plus_1_2,C_estime,H_calibre_Rough_Heston,Beta_theorique_H_moins_1_2,Ecart_beta_estime_vs_theorique
Marché,4,"3,7,15,31",-0.30687116486567656,0.010158945480628213,0.005704910368565352,0.5101589454806282,0.7357453846568438,,,
Rough Heston,4,"3,7,15,31",-1.7216836731556238,-0.4311495065212449,0.9967353154464993,0.0688504934787551,0.1787649127071479,0.136450432326678,-0.363549567673322,-0.06759993884792287
Heston classique,4,"3,7,15,31",-1.6655386036262922,-0.4343046607926085,0.9879593291174483,0.06569533920739151,0.189088786644131,,,
