Model,T_days,T,K_over_F0,Forward,Strike,r_GSW,Discount_factor,IV_model
Heston classique,1.0,0.0027378507871321013,0.95,3936.9814263393455,3740.132355022378,0.036499208078335656,0.9999000756072077,0.37447914077909095
Heston classique,1.0,0.0027378507871321013,0.9516666666666667,3936.9814263393455,3746.693990732944,0.036499208078335656,0.9999000756072077,0.37140131096983814
Heston classique,1.0,0.0027378507871321013,0.9533333333333333,3936.9814263393455,3753.255626443509,0.036499208078335656,0.9999000756072077,0.36829895877768803
Heston classique,1.0,0.0027378507871321013,0.955,3936.9814263393455,3759.817262154075,0.036499208078335656,0.9999000756072077,0.3651716303003093
Heston classique,1.0,0.0027378507871321013,0.9566666666666667,3936.9814263393455,3766.3788978646403,0.036499208078335656,0.9999000756072077,0.36201888867202253
Heston classique,1.0,0.0027378507871321013,0.9583333333333333,3936.9814263393455,3772.940533575206,0.036499208078335656,0.9999000756072077,0.35884033052790487
Heston classique,1.0,0.0027378507871321013,0.96,3936.9814263393455,3779.5021692857717,0.036499208078335656,0.9999000756072077,0.3556355878609282
Heston classique,1.0,0.0027378507871321013,0.9616666666666667,3936.9814263393455,3786.0638049963372,0.036499208078335656,0.9999000756072077,0.35240433289932205
Heston classique,1.0,0.0027378507871321013,0.9633333333333333,3936.9814263393455,3792.6254407069027,0.036499208078335656,0.9999000756072077,0.34914629811199965
Heston classique,1.0,0.0027378507871321013,0.965,3936.9814263393455,3799.1870764174682,0.036499208078335656,0.9999000756072077,0.3458612964463359
Heston classique,1.0,0.0027378507871321013,0.9666666666666667,3936.9814263393455,3805.748712128034,0.036499208078335656,0.9999000756072077,0.34254923730503467
Heston classique,1.0,0.0027378507871321013,0.9683333333333333,3936.9814263393455,3812.3103478385992,0.036499208078335656,0.9999000756072077,0.33921014955632595
Heston classique,1.0,0.0027378507871321013,0.97,3936.9814263393455,3818.871983549165,0.036499208078335656,0.9999000756072077,0.33584421794769637
Heston classique,1.0,0.0027378507871321013,0.9716666666666667,3936.9814263393455,3825.4336192597307,0.036499208078335656,0.9999000756072077,0.33245182403253426
Heston classique,1.0,0.0027378507871321013,0.9733333333333333,3936.9814263393455,3831.995254970296,0.036499208078335656,0.9999000756072077,0.32903359216037065
Heston classique,1.0,0.0027378507871321013,0.975,3936.9814263393455,3838.5568906808617,0.036499208078335656,0.9999000756072077,0.32559045086448063
Heston classique,1.0,0.0027378507871321013,0.9766666666666667,3936.9814263393455,3845.1185263914276,0.036499208078335656,0.9999000756072077,0.3221237137499184
Heston classique,1.0,0.0027378507871321013,0.9783333333333333,3936.9814263393455,3851.6801621019927,0.036499208078335656,0.9999000756072077,0.3186351778509358
Heston classique,1.0,0.0027378507871321013,0.98,3936.9814263393455,3858.2417978125586,0.036499208078335656,0.9999000756072077,0.31512724529539266
Heston classique,1.0,0.0027378507871321013,0.9816666666666667,3936.9814263393455,3864.803433523124,0.036499208078335656,0.9999000756072077,0.3116030795847575
Heston classique,1.0,0.0027378507871321013,0.9833333333333333,3936.9814263393455,3871.3650692336896,0.036499208078335656,0.9999000756072077,0.30806680582500895
Heston classique,1.0,0.0027378507871321013,0.985,3936.9814263393455,3877.926704944255,0.036499208078335656,0.9999000756072077,0.304523759161817
Heston classique,1.0,0.0027378507871321013,0.9866666666666667,3936.9814263393455,3884.488340654821,0.036499208078335656,0.9999000756072077,0.3009807939268415
Heston classique,1.0,0.0027378507871321013,0.9883333333333333,3936.9814263393455,3891.049976365386,0.036499208078335656,0.9999000756072077,0.2974466660511707
Heston classique,1.0,0.0027378507871321013,0.99,3936.9814263393455,3897.611612075952,0.036499208078335656,0.9999000756072077,0.2939324944078781
Heston classique,1.0,0.0027378507871321013,0.9916666666666667,3936.9814263393455,3904.1732477865175,0.036499208078335656,0.9999000756072077,0.2904522913586473
Heston classique,1.0,0.0027378507871321013,0.9933333333333333,3936.9814263393455,3910.734883497083,0.036499208078335656,0.9999000756072077,0.28702353734144037
Heston classique,1.0,0.0027378507871321013,0.995,3936.9814263393455,3917.2965192076485,0.036499208078335656,0.9999000756072077,0.2836677392082521
Heston classique,1.0,0.0027378507871321013,0.9966666666666667,3936.9814263393455,3923.8581549182145,0.036499208078335656,0.9999000756072077,0.28041085481945205
Heston classique,1.0,0.0027378507871321013,0.9983333333333333,3936.9814263393455,3930.4197906287795,0.036499208078335656,0.9999000756072077,0.2772833992384233
Heston classique,1.0,0.0027378507871321013,1.0,3936.9814263393455,3936.9814263393455,0.036499208078335656,0.9999000756072077,0.2743199952174567
Heston classique,1.0,0.0027378507871321013,1.0016666666666667,3936.9814263393455,3943.5430620499114,0.036499208078335656,0.9999000756072077,0.2715581248310883
Heston classique,1.0,0.0027378507871321013,1.0033333333333334,3936.9814263393455,3950.104697760477,0.036499208078335656,0.9999000756072077,0.26903593328034237
Heston classique,1.0,0.0027378507871321013,1.005,3936.9814263393455,3956.666333471042,0.036499208078335656,0.9999000756072077,0.2667891761714416
Heston classique,1.0,0.0027378507871321013,1.0066666666666666,3936.9814263393455,3963.2279691816075,0.036499208078335656,0.9999000756072077,0.26484775174351993
Heston classique,1.0,0.0027378507871321013,1.0083333333333333,3936.9814263393455,3969.7896048921734,0.036499208078335656,0.9999000756072077,0.2632325593671957
Heston classique,1.0,0.0027378507871321013,1.01,3936.9814263393455,3976.351240602739,0.036499208078335656,0.9999000756072077,0.26195347311387035
Heston classique,1.0,0.0027378507871321013,1.0116666666666667,3936.9814263393455,3982.912876313305,0.036499208078335656,0.9999000756072077,0.26100892792598046
Heston classique,1.0,0.0027378507871321013,1.0133333333333334,3936.9814263393455,3989.4745120238704,0.036499208078335656,0.9999000756072077,0.26038710683886096
Heston classique,1.0,0.0027378507871321013,1.0150000000000001,3936.9814263393455,3996.0361477344363,0.036499208078335656,0.9999000756072077,0.26006825283228613
Heston classique,1.0,0.0027378507871321013,1.0166666666666666,3936.9814263393455,4002.597783445001,0.036499208078335656,0.9999000756072077,0.26002742183186395
Heston classique,1.0,0.0027378507871321013,1.0183333333333333,3936.9814263393455,4009.159419155567,0.036499208078335656,0.9999000756072077,0.26023708030802817
Heston classique,1.0,0.0027378507871321013,1.02,3936.9814263393455,4015.7210548661324,0.036499208078335656,0.9999000756072077,0.2606691970854269
Heston classique,1.0,0.0027378507871321013,1.0216666666666667,3936.9814263393455,4022.2826905766983,0.036499208078335656,0.9999000756072077,0.26129671786316194
Heston classique,1.0,0.0027378507871321013,1.0233333333333334,3936.9814263393455,4028.844326287264,0.036499208078335656,0.9999000756072077,0.26209446716041696
Heston classique,1.0,0.0027378507871321013,1.025,3936.9814263393455,4035.405961997829,0.036499208078335656,0.9999000756072077,0.26303959933658694
Heston classique,1.0,0.0027378507871321013,1.0266666666666666,3936.9814263393455,4041.9675977083944,0.036499208078335656,0.9999000756072077,0.26411174081999733
Heston classique,1.0,0.0027378507871321013,1.0283333333333333,3936.9814263393455,4048.5292334189603,0.036499208078335656,0.9999000756072077,0.26529294279697785
Heston classique,1.0,0.0027378507871321013,1.03,3936.9814263393455,4055.090869129526,0.036499208078335656,0.9999000756072077,0.266567521647614
Heston classique,1.0,0.0027378507871321013,1.0316666666666667,3936.9814263393455,4061.6525048400918,0.036499208078335656,0.9999000756072077,0.2679218394338801
Heston classique,1.0,0.0027378507871321013,1.0333333333333334,3936.9814263393455,4068.2141405506572,0.036499208078335656,0.9999000756072077,0.2693440714825153
Heston classique,1.0,0.0027378507871321013,1.0350000000000001,3936.9814263393455,4074.775776261223,0.036499208078335656,0.9999000756072077,0.27082399009606717
Heston classique,1.0,0.0027378507871321013,1.0366666666666666,3936.9814263393455,4081.337411971788,0.036499208078335656,0.9999000756072077,0.2723527613219358
Heston classique,1.0,0.0027378507871321013,1.0383333333333333,3936.9814263393455,4087.8990476823537,0.036499208078335656,0.9999000756072077,0.27392274650895315
Heston classique,1.0,0.0027378507871321013,1.04,3936.9814263393455,4094.4606833929192,0.036499208078335656,0.9999000756072077,0.275527328307658
Heston classique,1.0,0.0027378507871321013,1.0416666666666667,3936.9814263393455,4101.022319103485,0.036499208078335656,0.9999000756072077,0.2771607822940848
Heston classique,1.0,0.0027378507871321013,1.0433333333333334,3936.9814263393455,4107.583954814051,0.036499208078335656,0.9999000756072077,0.2788181674126573
Heston classique,1.0,0.0027378507871321013,1.045,3936.9814263393455,4114.145590524616,0.036499208078335656,0.9999000756072077,0.28049519741899803
Heston classique,1.0,0.0027378507871321013,1.0466666666666666,3936.9814263393455,4120.707226235181,0.036499208078335656,0.9999000756072077,0.28218812319237413
Heston classique,1.0,0.0027378507871321013,1.0483333333333333,3936.9814263393455,4127.268861945748,0.036499208078335656,0.9999000756072077,0.2838936844052356
Heston classique,1.0,0.0027378507871321013,1.05,3936.9814263393455,4133.830497656313,0.036499208078335656,0.9999000756072077,0.28560908868987256
