Moneyness_zone,K_over_F0_min_observed,K_over_F0_max_observed,N,RMSE_RH,RMSE_Heston,MAE_RH,MAE_Heston,Bias_RH,Bias_Heston,Max_error_RH,Max_error_Heston,Gain_RMSE_RH_pct,Gain_MAE_RH_pct,Winner_RMSE
0.70–0.85,0.7001239101812058,0.848092389312548,67,0.005736594433843624,0.008376374136318226,0.004458674958853946,0.007182930231778649,-0.0015968874128217034,-0.0024423337521569622,0.020201501239979436,0.02056505269948289,31.514586854819004,37.92679568112857,Rough Heston
0.85–0.95,0.8501504623628927,0.9483045679759048,76,0.018956753665208825,0.02494396207615741,0.010381236338763472,0.013782252045803207,0.0003514111105219461,-0.001271061615873542,0.10017639176494819,0.1306821308435211,24.002635959230528,24.676777755456648,Rough Heston
0.95–1.05,0.9501681638173508,1.048014192060513,160,0.01636764116712127,0.015178515427303852,0.01082643235266973,0.011583797537126813,-0.0005370697227362822,7.363743311605137e-05,0.054917814240059676,0.0399002221211745,-7.834269072707605,6.538142453108999,Heston classique
1.05–1.15,1.0511660235141045,1.147826023554737,57,0.0034338116590501887,0.006695991622367196,0.0026186948904083833,0.005479875906806254,-0.0006791389126222981,-0.0020409230073653462,0.0124372458852883,0.015899764532156996,48.71839971274856,52.212514755017615,Rough Heston
1.15–1.30,1.1516724055075045,1.2948532991651942,38,0.007786343282293437,0.01145439484982645,0.007215266111108227,0.010061739423263072,0.007215266111108227,0.010061739423263072,0.014056172752306612,0.02623302847270631,32.02309345559699,28.290071849542286,Rough Heston
