Model,T_days,T,K_over_F0,Forward,Strike,r_GSW,Discount_factor,IV_model
Rough Heston,1.0,0.0027378507871321013,0.95,3936.9814263393455,3740.132355022378,0.036499208078335656,0.9999000756072077,0.36490594010608784
Rough Heston,1.0,0.0027378507871321013,0.9516666666666667,3936.9814263393455,3746.693990732944,0.036499208078335656,0.9999000756072077,0.36191866827514635
Rough Heston,1.0,0.0027378507871321013,0.9533333333333333,3936.9814263393455,3753.255626443509,0.036499208078335656,0.9999000756072077,0.3589077065596066
Rough Heston,1.0,0.0027378507871321013,0.955,3936.9814263393455,3759.817262154075,0.036499208078335656,0.9999000756072077,0.35587247342758327
Rough Heston,1.0,0.0027378507871321013,0.9566666666666667,3936.9814263393455,3766.3788978646403,0.036499208078335656,0.9999000756072077,0.35281237578178515
Rough Heston,1.0,0.0027378507871321013,0.9583333333333333,3936.9814263393455,3772.940533575206,0.036499208078335656,0.9999000756072077,0.349726810723498
Rough Heston,1.0,0.0027378507871321013,0.96,3936.9814263393455,3779.5021692857717,0.036499208078335656,0.9999000756072077,0.3466151669497039
Rough Heston,1.0,0.0027378507871321013,0.9616666666666667,3936.9814263393455,3786.0638049963372,0.036499208078335656,0.9999000756072077,0.34347682717810385
Rough Heston,1.0,0.0027378507871321013,0.9633333333333333,3936.9814263393455,3792.6254407069027,0.036499208078335656,0.9999000756072077,0.34031117089232604
Rough Heston,1.0,0.0027378507871321013,0.965,3936.9814263393455,3799.1870764174682,0.036499208078335656,0.9999000756072077,0.3371175781310398
Rough Heston,1.0,0.0027378507871321013,0.9666666666666667,3936.9814263393455,3805.748712128034,0.036499208078335656,0.9999000756072077,0.33389543402883176
Rough Heston,1.0,0.0027378507871321013,0.9683333333333333,3936.9814263393455,3812.3103478385992,0.036499208078335656,0.9999000756072077,0.3306441344617785
Rough Heston,1.0,0.0027378507871321013,0.97,3936.9814263393455,3818.871983549165,0.036499208078335656,0.9999000756072077,0.3273630933199937
Rough Heston,1.0,0.0027378507871321013,0.9716666666666667,3936.9814263393455,3825.4336192597307,0.036499208078335656,0.9999000756072077,0.324051751382857
Rough Heston,1.0,0.0027378507871321013,0.9733333333333333,3936.9814263393455,3831.995254970296,0.036499208078335656,0.9999000756072077,0.3207095872749087
Rough Heston,1.0,0.0027378507871321013,0.975,3936.9814263393455,3838.5568906808617,0.036499208078335656,0.9999000756072077,0.31733613111146164
Rough Heston,1.0,0.0027378507871321013,0.9766666666666667,3936.9814263393455,3845.1185263914276,0.036499208078335656,0.9999000756072077,0.3139309812388469
Rough Heston,1.0,0.0027378507871321013,0.9783333333333333,3936.9814263393455,3851.6801621019927,0.036499208078335656,0.9999000756072077,0.3104938251033827
Rough Heston,1.0,0.0027378507871321013,0.98,3936.9814263393455,3858.2417978125586,0.036499208078335656,0.9999000756072077,0.30702446453942167
Rough Heston,1.0,0.0027378507871321013,0.9816666666666667,3936.9814263393455,3864.803433523124,0.036499208078335656,0.9999000756072077,0.30352284721465317
Rough Heston,1.0,0.0027378507871321013,0.9833333333333333,3936.9814263393455,3871.3650692336896,0.036499208078335656,0.9999000756072077,0.29998910509868015
Rough Heston,1.0,0.0027378507871321013,0.985,3936.9814263393455,3877.926704944255,0.036499208078335656,0.9999000756072077,0.2964236016022915
Rough Heston,1.0,0.0027378507871321013,0.9866666666666667,3936.9814263393455,3884.488340654821,0.036499208078335656,0.9999000756072077,0.29282698922845896
Rough Heston,1.0,0.0027378507871321013,0.9883333333333333,3936.9814263393455,3891.049976365386,0.036499208078335656,0.9999000756072077,0.2892002798919906
Rough Heston,1.0,0.0027378507871321013,0.99,3936.9814263393455,3897.611612075952,0.036499208078335656,0.9999000756072077,0.28554493027602007
Rough Heston,1.0,0.0027378507871321013,0.9916666666666667,3936.9814263393455,3904.1732477865175,0.036499208078335656,0.9999000756072077,0.2818629448728191
Rough Heston,1.0,0.0027378507871321013,0.9933333333333333,3936.9814263393455,3910.734883497083,0.036499208078335656,0.9999000756072077,0.27815699946983846
Rough Heston,1.0,0.0027378507871321013,0.995,3936.9814263393455,3917.2965192076485,0.036499208078335656,0.9999000756072077,0.2744305876131852
Rough Heston,1.0,0.0027378507871321013,0.9966666666666667,3936.9814263393455,3923.8581549182145,0.036499208078335656,0.9999000756072077,0.2706881918088917
Rough Heston,1.0,0.0027378507871321013,0.9983333333333333,3936.9814263393455,3930.4197906287795,0.036499208078335656,0.9999000756072077,0.2669354797859388
Rough Heston,1.0,0.0027378507871321013,1.0,3936.9814263393455,3936.9814263393455,0.036499208078335656,0.9999000756072077,0.2631795234591074
Rough Heston,1.0,0.0027378507871321013,1.0016666666666667,3936.9814263393455,3943.5430620499114,0.036499208078335656,0.9999000756072077,0.25942903360314906
Rough Heston,1.0,0.0027378507871321013,1.0033333333333334,3936.9814263393455,3950.104697760477,0.036499208078335656,0.9999000756072077,0.25569459671470557
Rough Heston,1.0,0.0027378507871321013,1.005,3936.9814263393455,3956.666333471042,0.036499208078335656,0.9999000756072077,0.251988891196743
Rough Heston,1.0,0.0027378507871321013,1.0066666666666666,3936.9814263393455,3963.2279691816075,0.036499208078335656,0.9999000756072077,0.2483268487426781
Rough Heston,1.0,0.0027378507871321013,1.0083333333333333,3936.9814263393455,3969.7896048921734,0.036499208078335656,0.9999000756072077,0.24472571402091647
Rough Heston,1.0,0.0027378507871321013,1.01,3936.9814263393455,3976.351240602739,0.036499208078335656,0.9999000756072077,0.2412049462682857
Rough Heston,1.0,0.0027378507871321013,1.0116666666666667,3936.9814263393455,3982.912876313305,0.036499208078335656,0.9999000756072077,0.2377859037155653
Rough Heston,1.0,0.0027378507871321013,1.0133333333333334,3936.9814263393455,3989.4745120238704,0.036499208078335656,0.9999000756072077,0.23449126384335417
Rough Heston,1.0,0.0027378507871321013,1.0150000000000001,3936.9814263393455,3996.0361477344363,0.036499208078335656,0.9999000756072077,0.2313441644479251
Rough Heston,1.0,0.0027378507871321013,1.0166666666666666,3936.9814263393455,4002.597783445001,0.036499208078335656,0.9999000756072077,0.22836710252742343
Rough Heston,1.0,0.0027378507871321013,1.0183333333333333,3936.9814263393455,4009.159419155567,0.036499208078335656,0.9999000756072077,0.22558069223870358
Rough Heston,1.0,0.0027378507871321013,1.02,3936.9814263393455,4015.7210548661324,0.036499208078335656,0.9999000756072077,0.2230024381786535
Rough Heston,1.0,0.0027378507871321013,1.0216666666666667,3936.9814263393455,4022.2826905766983,0.036499208078335656,0.9999000756072077,0.22064570491898294
Rough Heston,1.0,0.0027378507871321013,1.0233333333333334,3936.9814263393455,4028.844326287264,0.036499208078335656,0.9999000756072077,0.21851903987996868
Rough Heston,1.0,0.0027378507871321013,1.025,3936.9814263393455,4035.405961997829,0.036499208078335656,0.9999000756072077,0.21662594005339175
Rough Heston,1.0,0.0027378507871321013,1.0266666666666666,3936.9814263393455,4041.9675977083944,0.036499208078335656,0.9999000756072077,0.21496506241372523
Rough Heston,1.0,0.0027378507871321013,1.0283333333333333,3936.9814263393455,4048.5292334189603,0.036499208078335656,0.9999000756072077,0.2135307967344761
Rough Heston,1.0,0.0027378507871321013,1.03,3936.9814263393455,4055.090869129526,0.036499208078335656,0.9999000756072077,0.21231407163655752
Rough Heston,1.0,0.0027378507871321013,1.0316666666666667,3936.9814263393455,4061.6525048400918,0.036499208078335656,0.9999000756072077,0.21130325552287152
Rough Heston,1.0,0.0027378507871321013,1.0333333333333334,3936.9814263393455,4068.2141405506572,0.036499208078335656,0.9999000756072077,0.2104850346848201
Rough Heston,1.0,0.0027378507871321013,1.0350000000000001,3936.9814263393455,4074.775776261223,0.036499208078335656,0.9999000756072077,0.209845188265312
Rough Heston,1.0,0.0027378507871321013,1.0366666666666666,3936.9814263393455,4081.337411971788,0.036499208078335656,0.9999000756072077,0.2093692216017997
Rough Heston,1.0,0.0027378507871321013,1.0383333333333333,3936.9814263393455,4087.8990476823537,0.036499208078335656,0.9999000756072077,0.209042850807612
Rough Heston,1.0,0.0027378507871321013,1.04,3936.9814263393455,4094.4606833929192,0.036499208078335656,0.9999000756072077,0.2088523437970302
Rough Heston,1.0,0.0027378507871321013,1.0416666666666667,3936.9814263393455,4101.022319103485,0.036499208078335656,0.9999000756072077,0.2087847351294272
Rough Heston,1.0,0.0027378507871321013,1.0433333333333334,3936.9814263393455,4107.583954814051,0.036499208078335656,0.9999000756072077,0.20882795415104685
Rough Heston,1.0,0.0027378507871321013,1.045,3936.9814263393455,4114.145590524616,0.036499208078335656,0.9999000756072077,0.2089709000376742
Rough Heston,1.0,0.0027378507871321013,1.0466666666666666,3936.9814263393455,4120.707226235181,0.036499208078335656,0.9999000756072077,0.20920344228961757
Rough Heston,1.0,0.0027378507871321013,1.0483333333333333,3936.9814263393455,4127.268861945748,0.036499208078335656,0.9999000756072077,0.20951634055675472
Rough Heston,1.0,0.0027378507871321013,1.05,3936.9814263393455,4133.830497656313,0.036499208078335656,0.9999000756072077,0.20990122140208692
Rough Heston,3.0,0.008213552361396304,0.95,3937.522946229548,3740.64679891807,0.03651353816886379,0.9997001391096165,0.33851608995633714
Rough Heston,3.0,0.008213552361396304,0.9516666666666667,3937.522946229548,3747.209337161786,0.03651353816886379,0.9997001391096165,0.33611106575652583
Rough Heston,3.0,0.008213552361396304,0.9533333333333333,3937.522946229548,3753.771875405502,0.03651353816886379,0.9997001391096165,0.3336910397348627
Rough Heston,3.0,0.008213552361396304,0.955,3937.522946229548,3760.3344136492183,0.03651353816886379,0.9997001391096165,0.33125577219247976
Rough Heston,3.0,0.008213552361396304,0.9566666666666667,3937.522946229548,3766.8969518929343,0.03651353816886379,0.9997001391096165,0.328805028946757
Rough Heston,3.0,0.008213552361396304,0.9583333333333333,3937.522946229548,3773.45949013665,0.03651353816886379,0.9997001391096165,0.3263385835956707
Rough Heston,3.0,0.008213552361396304,0.96,3937.522946229548,3780.022028380366,0.03651353816886379,0.9997001391096165,0.3238562196456448
Rough Heston,3.0,0.008213552361396304,0.9616666666666667,3937.522946229548,3786.584566624082,0.03651353816886379,0.9997001391096165,0.3213577325583295
Rough Heston,3.0,0.008213552361396304,0.9633333333333333,3937.522946229548,3793.1471048677977,0.03651353816886379,0.9997001391096165,0.3188429322418885
Rough Heston,3.0,0.008213552361396304,0.965,3937.522946229548,3799.7096431115137,0.03651353816886379,0.9997001391096165,0.316311646452819
Rough Heston,3.0,0.008213552361396304,0.9666666666666667,3937.522946229548,3806.27218135523,0.03651353816886379,0.9997001391096165,0.31376372511883427
Rough Heston,3.0,0.008213552361396304,0.9683333333333333,3937.522946229548,3812.8347195989454,0.03651353816886379,0.9997001391096165,0.3111990455300403
Rough Heston,3.0,0.008213552361396304,0.97,3937.522946229548,3819.3972578426615,0.03651353816886379,0.9997001391096165,0.3086175180065758
Rough Heston,3.0,0.008213552361396304,0.9716666666666667,3937.522946229548,3825.9597960863775,0.03651353816886379,0.9997001391096165,0.30601909210708944
Rough Heston,3.0,0.008213552361396304,0.9733333333333333,3937.522946229548,3832.522334330093,0.03651353816886379,0.9997001391096165,0.30340376360098353
Rough Heston,3.0,0.008213552361396304,0.975,3937.522946229548,3839.084872573809,0.03651353816886379,0.9997001391096165,0.3007715828448787
Rough Heston,3.0,0.008213552361396304,0.9766666666666667,3937.522946229548,3845.6474108175253,0.03651353816886379,0.9997001391096165,0.2981226647671499
Rough Heston,3.0,0.008213552361396304,0.9783333333333333,3937.522946229548,3852.209949061241,0.03651353816886379,0.9997001391096165,0.29545720059492375
Rough Heston,3.0,0.008213552361396304,0.98,3937.522946229548,3858.772487304957,0.03651353816886379,0.9997001391096165,0.2927754716295239
Rough Heston,3.0,0.008213552361396304,0.9816666666666667,3937.522946229548,3865.335025548673,0.03651353816886379,0.9997001391096165,0.29007786463929885
Rough Heston,3.0,0.008213552361396304,0.9833333333333333,3937.522946229548,3871.8975637923886,0.03651353816886379,0.9997001391096165,0.28736488940202637
Rough Heston,3.0,0.008213552361396304,0.985,3937.522946229548,3878.4601020361047,0.03651353816886379,0.9997001391096165,0.2846371986606097
Rough Heston,3.0,0.008213552361396304,0.9866666666666667,3937.522946229548,3885.0226402798207,0.03651353816886379,0.9997001391096165,0.28189561119990963
Rough Heston,3.0,0.008213552361396304,0.9883333333333333,3937.522946229548,3891.5851785235363,0.03651353816886379,0.9997001391096165,0.2791411383592878
Rough Heston,3.0,0.008213552361396304,0.99,3937.522946229548,3898.1477167672524,0.03651353816886379,0.9997001391096165,0.2763750141864452
Rough Heston,3.0,0.008213552361396304,0.9916666666666667,3937.522946229548,3904.7102550109685,0.03651353816886379,0.9997001391096165,0.27359872931642476
Rough Heston,3.0,0.008213552361396304,0.9933333333333333,3937.522946229548,3911.272793254684,0.03651353816886379,0.9997001391096165,0.27081406832994276
Rough Heston,3.0,0.008213552361396304,0.995,3937.522946229548,3917.8353314984,0.03651353816886379,0.9997001391096165,0.2680231509311093
Rough Heston,3.0,0.008213552361396304,0.9966666666666667,3937.522946229548,3924.397869742116,0.03651353816886379,0.9997001391096165,0.2652284760546944
Rough Heston,3.0,0.008213552361396304,0.9983333333333333,3937.522946229548,3930.960407985832,0.03651353816886379,0.9997001391096165,0.2624329696792764
Rough Heston,3.0,0.008213552361396304,1.0,3937.522946229548,3937.522946229548,0.03651353816886379,0.9997001391096165,0.2596400343753807
Rough Heston,3.0,0.008213552361396304,1.0016666666666667,3937.522946229548,3944.085484473264,0.03651353816886379,0.9997001391096165,0.2568535993921002
Rough Heston,3.0,0.008213552361396304,1.0033333333333334,3937.522946229548,3950.64802271698,0.03651353816886379,0.9997001391096165,0.2540781687290061
Rough Heston,3.0,0.008213552361396304,1.005,3937.522946229548,3957.210560960695,0.03651353816886379,0.9997001391096165,0.25131886346459176
Rough Heston,3.0,0.008213552361396304,1.0066666666666666,3937.522946229548,3963.773099204411,0.03651353816886379,0.9997001391096165,0.2485814544561676
Rough Heston,3.0,0.008213552361396304,1.0083333333333333,3937.522946229548,3970.3356374481273,0.03651353816886379,0.9997001391096165,0.24587238010945153
Rough Heston,3.0,0.008213552361396304,1.01,3937.522946229548,3976.8981756918433,0.03651353816886379,0.9997001391096165,0.24319874348801615
Rough Heston,3.0,0.008213552361396304,1.0116666666666667,3937.522946229548,3983.4607139355594,0.03651353816886379,0.9997001391096165,0.24056828217804713
Rough Heston,3.0,0.008213552361396304,1.0133333333333334,3937.522946229548,3990.0232521792755,0.03651353816886379,0.9997001391096165,0.23798930417022576
Rough Heston,3.0,0.008213552361396304,1.0150000000000001,3937.522946229548,3996.5857904229915,0.03651353816886379,0.9997001391096165,0.23547058396999265
Rough Heston,3.0,0.008213552361396304,1.0166666666666666,3937.522946229548,4003.1483286667067,0.03651353816886379,0.9997001391096165,0.23302121476772675
Rough Heston,3.0,0.008213552361396304,1.0183333333333333,3937.522946229548,4009.7108669104227,0.03651353816886379,0.9997001391096165,0.23065041736213265
Rough Heston,3.0,0.008213552361396304,1.02,3937.522946229548,4016.273405154139,0.03651353816886379,0.9997001391096165,0.22836731015221848
