T,Effective_days,Calendar_days,Root,N_total,N_local,K_over_F0_min_local,K_over_F0_max_local,Brackets_ATM,Skew_Market,Skew_Rough_Heston,Skew_Heston,IV_ATM_Market,IV_ATM_Rough_Heston,IV_ATM_Heston,R2_local_Market,R2_local_Rough_Heston,R2_local_Heston
0.0027378507871321,0.9999999999999996,1,SPXW,23,7,0.9956866887342328,1.0033067399235254,True,2.784770036303836,-2.2487622891945347,-1.2013959288377827,0.27910773110914605,0.26317786685959077,0.26955414209319545,0.5359784283694422,0.9999993061936752,0.9999981895413431
0.007472051106548,2.729166666666657,3,SPX,5,5,0.9765204421633366,1.0171558831896392,True,-0.9809490562387672,-1.668325065233883,-1.1884020575854548,0.26366835370914965,0.26015984022462985,0.2667209539837367,0.9007669468550734,0.9998880521326037,0.9999017519929433
0.0082135523613963,2.9999999999999987,3,SPXW,20,7,0.9841212490483596,1.0145972619221153,True,-0.626691925811293,-1.6469355584020573,-1.2029293924091862,0.28150907948198833,0.2597207018936952,0.2663573432947972,0.8747416098427534,0.9999419033528458,0.9999641741586339
0.0191649555099247,6.9999999999999964,7,SPXW,25,7,0.9889280568316332,1.0143177373664631,True,-0.5816361023428706,-1.3038832940627465,-1.2174323146599726,0.23392849892465675,0.25569251829580186,0.2603668935336999,0.9458180325452217,0.9999409138882416,0.9999861044447172
0.0410677618069815,14.999999999999991,15,SPXW,25,7,0.9845750763183512,1.015025851874589,True,-0.7702014300459676,-1.0365676466487848,-1.162136566893762,0.2443942430734759,0.2510529200477877,0.2501424909927447,0.9994198185461779,0.9999560978155145,0.9999331872030062
0.0848733744010951,30.999999999999986,31,SPXW,25,7,0.9746084470690825,1.0215011811933423,True,-0.7296990502239287,-0.8105597948610078,-0.9738080954320499,0.24032574962803874,0.245961581750398,0.23787169818716977,0.9954400325073002,0.9999051711585297,0.9995421389212042
0.1799566506958704,65.72916666666667,66,SPX,14,7,0.9418861209089888,1.1024492582988434,True,-0.5115288108320043,-0.5261413078608999,-0.5535209195006512,0.23954643145428337,0.2424135587602488,0.232439425590884,0.9857468447543453,0.9841644712938676,0.9537564961757558
0.1806981519507187,66.0,66,SPXW,11,7,0.9102617185444812,1.0847285479321735,True,-0.517557483627644,-0.566132878613391,-0.6304531466839973,0.2388560461818679,0.24268512031125183,0.23348419163810127,0.9971402521905555,0.9962960169929689,0.987441572527832
0.2566164727355692,93.72916666666666,94,SPX,7,7,0.8012144240796042,1.135579498695502,True,-0.4454614397661318,-0.4690609599516725,-0.5142949888366908,0.23831969454748983,0.24202441604466343,0.23448930514757255,0.9953275433814313,0.9903368989220447,0.9790524402980364
0.2573579739904175,93.99999999999999,94,SPXW,18,7,0.9273719221969822,1.0850882354957887,True,-0.4857793988475627,-0.4904708120633502,-0.5261891794144934,0.23925092139089169,0.23923794671576884,0.22920976696185769,0.9924513541011898,0.9958763514786808,0.9886355582341042
0.3524412502851928,128.72916666666666,129,SPX,14,7,0.8986233736581759,1.084892644388442,True,-0.40701238354530095,-0.4403198050310482,-0.4637218853526587,0.23617166706954815,0.23764514043743887,0.22973036770280464,0.99953381262418,0.9986615270273019,0.9970222676288387
0.3531827515400411,129.0,129,SPXW,11,7,0.9627918649086008,1.1012325252222557,True,-0.4205161710701465,-0.412029791351525,-0.4190862487445276,0.2373050212703758,0.23670097476339488,0.22821556737275095,0.9996407419873685,0.9942941738846063,0.989512328922624
0.5057608943645905,184.72916666666669,185,SPX,25,7,0.9338168850544544,1.0591614333839114,True,-0.36734501898885685,-0.37998939715171776,-0.3770041274304361,0.23865364638894368,0.23494151580744846,0.23010174752400722,0.9995528087976235,0.9995873838789723,0.9992964474946335
0.601585671914214,219.72916666666666,220,SPX,25,7,0.9314148447946398,1.0564369716127122,True,-0.32865492940341745,-0.3501983598562344,-0.3368059339585355,0.23878483767997655,0.2342756454767895,0.23148580476862124,0.9990023081413834,0.9996873877905552,0.9995430222104577
0.6782454939539129,247.72916666666669,248,SPX,25,7,0.9482041064147828,1.0792059895378778,True,-0.3220700014524507,-0.3216451531025199,-0.30176840410996947,0.2390540234749207,0.23402049140658854,0.2326985377998341,0.9991941219604319,0.9992776536681348,0.9992491501336982
0.7549053159936117,275.7291666666667,276,SPX,25,7,0.92756318065199,1.0645188180636933,True,-0.30541970338417834,-0.3103326663826876,-0.2855497088147267,0.2385609168896075,0.23373362488850058,0.23376275537802346,0.9987794561085482,0.9996737707926265,0.9996352474309831
0.8507300935432353,310.7291666666667,311,SPX,25,7,0.943783786569874,1.0431294483140714,True,-0.2658513881906854,-0.2930729008329567,-0.26285150472591157,0.23794104856107037,0.23339113933926106,0.23493014197234446,0.988869091831425,0.9998929902537118,0.9998791312414035
1.004049737622633,366.7291666666667,367,SPX,25,7,0.9398660916126113,1.0697160121643534,True,-0.2625703968048626,-0.2644776481709585,-0.22967586125022482,0.2377001909000283,0.2332995459047196,0.2368840451010181,0.9948285735129516,0.9997425429424303,0.9997950545607378
1.2531941592516542,457.7291666666667,458,SPX,25,7,0.939694947905447,1.0870980769886545,True,-0.22858058900821684,-0.23133383655347176,-0.1922868621702697,0.2364772685136654,0.23313816679993485,0.2394372831751139,0.9919671301500003,0.9996807168729425,0.9998015304038356
1.7706479580196213,646.7291666666666,647,SPX,25,7,0.9631906421478224,1.0358842755174693,True,-0.14633744586634762,-0.18993271425839478,-0.14662089839608336,0.23186778148982115,0.23223889462477817,0.24318755529747388,0.9107474360204617,0.9999824846173375,0.9999848228520117
