Calendar_days,N_effective_maturities,N,RMSE_RH,RMSE_Heston,MAE_RH,MAE_Heston,Bias_RH,Bias_Heston,Max_error_RH,Max_error_Heston,Gain_RMSE_RH_pct,Gain_MAE_RH_pct,Winner_RMSE
1,1,23,0.02245724013210531,0.013006501469842481,0.01731268438430724,0.009899951179154234,-0.013741190803312198,-0.008009241824786056,0.03565257906336822,0.022452027687373588,-72.66165066890416,-74.87646222702168,Heston classique
3,2,25,0.0352710382775256,0.04137232949011826,0.0265638904794233,0.02801698997619638,-0.024760779266553755,-0.02618905052782282,0.10017639176494819,0.1306821308435211,14.747275021219071,5.18649397386248,Rough Heston
7,1,25,0.027449658019865833,0.029047421448187324,0.023582734549964898,0.02624284319742359,0.022844159257284728,0.02624284319742359,0.04003398144109638,0.0399002221211745,5.5005344662742806,10.136510847726477,Rough Heston
15,1,25,0.011465884784770501,0.013343003237785664,0.00956139203559832,0.010986861391470324,0.006658047181190809,0.007318322789991246,0.02012051443025431,0.02445635449368938,14.068185546859535,12.974309086839584,Rough Heston
31,1,25,0.011472401398408142,0.014600012048996112,0.009303601999848466,0.011445848176047014,0.007660926305426584,0.005899652947904442,0.0203894923519361,0.028422464971323613,21.421973078460734,18.71636023166614,Rough Heston
66,2,25,0.008154202936719021,0.011624247530698996,0.006279236657114403,0.009978375548621281,0.004383209821911426,0.0016777091138989097,0.020201501239979436,0.02056505269948289,29.85177823180192,37.07155411702249,Rough Heston
94,2,25,0.006030180323907283,0.009373565985952908,0.004697409254178712,0.008401616703901226,0.0032973676908044534,-0.001439200456451042,0.011133888619655974,0.014326396991138801,35.668236262015704,44.08922211367359,Rough Heston
129,2,25,0.005578889569925997,0.007098459052594157,0.004379820096714779,0.006219082226782441,0.003464119215710173,-0.0021419207224105587,0.01264254012146368,0.010923644553288009,21.40703315197441,29.57449448323565,Rough Heston
185,1,25,0.005419911982007626,0.006274809424737885,0.004098509452744859,0.005377439352769325,0.0012393452119734893,-0.0025271125361326,0.014056172752306612,0.011250392245414992,13.6242774060978,23.78325102571042,Rough Heston
220,1,25,0.004114659409899667,0.005708698600505618,0.00318141001978142,0.005299616454346951,-0.0007075050177425169,-0.0035153673523718996,0.010650715155643004,0.008913409051389709,27.922987394443414,39.96905158727281,Rough Heston
248,1,25,0.004614810244219964,0.0064518140629263926,0.004062655362521559,0.00607945264776364,-0.0015970629501793222,-0.0035655747227870405,0.010886472011921805,0.010225408798310215,28.472671419070718,33.17399447109719,Rough Heston
276,1,25,0.004877108227917345,0.006780682488684801,0.004323085615468961,0.006236021633823511,-0.0015493424266777923,-0.0026452916649007652,0.01243396646781661,0.012219976549841305,28.07349059543824,30.67558341970769,Rough Heston
311,1,25,0.00418411566932679,0.006218052699517619,0.003891545324189818,0.005476047623423079,-0.0028709196992775876,-0.003548043145272248,0.009001249343760592,0.011985036905636903,32.71019286067835,28.93514461882617,Rough Heston
367,1,25,0.004843528925453991,0.008042662619282317,0.004486810244620459,0.0068021794479420335,-0.0017938874204246325,0.00015495648133075912,0.009489616622002622,0.014495554972403402,39.77704704606643,34.03863748437389,Rough Heston
458,1,25,0.004263089291406102,0.009632594525957975,0.003907250047256276,0.007937119547892097,-0.001228726408433487,0.0033214289302588474,0.0080384714418065,0.017888603898558397,55.74308375673965,50.77244302948737,Rough Heston
647,1,25,0.0022668357267323254,0.01115053168380665,0.001488182482682533,0.009465115455673485,0.00037309709625266694,0.009027487416617729,0.00833964558827932,0.02623302847270631,79.6706041378786,84.27718616162782,Rough Heston
