Start,v0_initial,kappa_initial,theta_initial,xi_initial,rho_initial,v0,kappa,theta,xi,rho,RMSE,MAE,MAX_ERROR,N_valid_IV,Success,NFEV,Time_seconds
4,0.08,45.0,0.06,5.0,-0.4,0.08187746204656378,49.9999928224808,0.06252722698608673,5.133057489102186,-0.3687280696012352,0.01772258715821304,0.013848256870541158,0.06878833646739935,123,True,12,52.905378580093384
1,0.04,1.5,0.04,0.4,-0.7,0.08186114533165646,49.99952971733928,0.062427274324514274,5.111488870756629,-0.36923759264857287,0.017723454988703043,0.013849007573088847,0.06923511590795833,123,True,17,69.84349584579468
3,0.08,20.0,0.06,3.0,-0.4,0.0819457084980667,49.993833384767605,0.06274129619584194,5.21578116161649,-0.3636225324017789,0.017724370728458647,0.013879930465160185,0.06746470732780108,123,True,11,53.58846640586853
2,0.08,5.0,0.06,1.5,-0.5,0.08183343303411071,49.99039819050375,0.06240424025952061,5.089981813508494,-0.3723068246765969,0.017725306930152063,0.013834515476433985,0.06938936596464151,123,True,14,53.30254006385803
