Modele,N,RMSE,MAE,MAX_ERROR,Gain_RMSE_RH_vs_Heston,Gain_RMSE_RH_vs_Heston_pct,Gain_MAE_RH_vs_Heston,Gain_MAE_RH_vs_Heston_pct,Meilleur_modele_global
Rough Heston,123,0.018170113824377835,0.014742500902443348,0.05540447435889617,-0.0004475266661647971,-2.525176838853369,-0.0008942440319021933,-6.45744832914302,Heston classique
Heston classique,123,0.017722587158213038,0.013848256870541155,0.0687883364673994,-0.0004475266661647971,-2.525176838853369,-0.0008942440319021933,-6.45744832914302,Heston classique
