Expiration Date,T_days,T,Strike,K_over_S0,Forward,K_over_F0,Option_type,Root,Contract,Market_price,IV_BDD,r_GSW,Discount_factor,IV_market,BS_reconstructed_price,BS_reconstruction_error,IV_BDD_error,IV_RH,Residual_IV,Abs_error_IV
2022-09-14,1,0.0027378507871321,3880,0.9855943382519012,3936.9814263393455,0.9855266204818428,Put,SPXW,SPXW220914P03880000,5.25,0.3606,0.0364992080783356,0.9999000756072076,0.2886238858604807,5.249999999999545,4.547473508864641e-13,0.0719761141395192,0.30925408798788767,0.02063020212740696,0.02063020212740696
2022-09-14,1,0.0027378507871321,3885,0.9868644340486176,3936.9814263393455,0.9867966290133916,Put,SPXW,SPXW220914P03885000,5.95,0.3566,0.0364992080783356,0.9999000756072076,0.2849875000371651,5.949999999997203,2.7968738436356944e-12,0.0716124999628348,0.3051310876606887,0.020143587623523584,0.020143587623523584
2022-09-14,1,0.0027378507871321,3890,0.988134529845334,3936.9814263393455,0.9880666375449404,Put,SPXW,SPXW220914P03890000,6.85,0.355,0.0364992080783356,0.9999000756072076,0.2832657583532689,6.850000000001842,1.84208204245806e-12,0.071734241646731,0.30102785006127314,0.017762091708004246,0.017762091708004246
2022-09-14,1,0.0027378507871321,3895,0.9894046256420505,3936.9814263393455,0.9893366460764892,Put,SPXW,SPXW220914P03895000,7.8,0.3523,0.0364992080783356,0.9999000756072076,0.2805642584811562,7.799999999999841,1.5898393712632244e-13,0.0717357415188437,0.29695532665130675,0.01639106817015057,0.01639106817015057
2022-09-14,1,0.0027378507871321,3900,0.9906747214387668,3936.9814263393455,0.9906066546080378,Put,SPXW,SPXW220914P03900000,8.95,0.3512,0.0364992080783356,0.9999000756072076,0.2791690867691719,8.949999999999363,6.359357485052898e-13,0.0720309132308281,0.29292650985558655,0.013757423086414644,0.013757423086414644
2022-09-14,1,0.0027378507871321,3905,0.9919448172354832,3936.9814263393455,0.9918766631395866,Put,SPXW,SPXW220914P03905000,10.2,0.3496,0.0364992080783356,0.9999000756072076,0.2773118766041637,10.200000000016644,1.6644463585180347e-11,0.0722881233958362,0.28895671395522476,0.011644837351061088,0.011644837351061088
2022-09-14,1,0.0027378507871321,3910,0.9932149130321996,3936.9814263393455,0.9931466716711354,Put,SPXW,SPXW220914P03910000,11.6,0.3483,0.0364992080783356,0.9999000756072076,0.2756175138855407,11.599999999999454,5.453415496958769e-13,0.0726824861144593,0.28506383863075474,0.009446324745214063,0.009446324745214063
2022-09-14,1,0.0027378507871321,3915,0.994485008828916,3936.9814263393455,0.994416680202684,Put,SPXW,SPXW220914P03915000,13.2,0.3479,0.0364992080783356,0.9999000756072076,0.2746094057231388,13.199999999999818,1.8118839761882557e-13,0.0732905942768611,0.28126857085820084,0.0066591651350620396,0.0066591651350620396
2022-09-14,1,0.0027378507871321,3920,0.9957551046256324,3936.9814263393455,0.9956866887342328,Put,SPXW,SPXW220914P03920000,14.85,0.3459,0.0364992080783356,0.9999000756072076,0.2722052530135102,14.850000000000136,1.3677947663381929e-13,0.0736947469864898,0.27759447582191277,0.005389222808402594,0.005389222808402594
2022-09-14,1,0.0027378507871321,3925,0.9970252004223488,3936.9814263393455,0.9969566972657816,Put,SPXW,SPXW220914P03925000,16.75,0.3453,0.0364992080783356,0.9999000756072076,0.2709167616689267,16.749999999977945,2.205524651799351e-11,0.0743832383310733,0.27406792196465385,0.003151160295727151,0.003151160295727151
