Expiration Date,T_days,T,Strike,K_over_S0,Forward,K_over_F0,Option_type,Root,Contract,Market_price,IV_BDD,r_GSW,Discount_factor,IV_market,BS_reconstructed_price,BS_reconstruction_error,IV_BDD_error,IV_Heston,Residual_IV_Heston,Abs_error_IV_Heston
2022-09-16,3,0.0082135523613963,3755,0.9538419433339922,3937.522946229548,0.953645236174604,Put,SPXW,SPXW220916P03755000,3.55,0.3719,0.0365135381688637,0.9997001391096164,0.3488239559839663,3.550000000000068,6.838973831690964e-14,0.0230760440160336,0.34880229673201296,-2.1659251953354275e-05,2.1659251953354275e-05
2022-09-16,3,0.0082135523613963,3790,0.9627326139110068,3937.522946229548,0.9625340732627828,Put,SPXW,SPXW220916P03790000,5.45,0.3508,0.0365135381688637,0.9997001391096164,0.3288182095128314,5.450000000004593,4.592770608269348e-12,0.0219817904871685,0.3318426554076686,0.003024445894837191,0.003024445894837191
2022-09-16,3,0.0082135523613963,3815,0.9690830928945886,3937.522946229548,0.9688832426114818,Put,SPXW,SPXW220916P03815000,7.55,0.3373,0.0365135381688637,0.9997001391096164,0.3159102736694359,7.549999999999613,3.8635761256955453e-13,0.021389726330564,0.3192362233061381,0.0033259496367021857,0.0033259496367021857
2022-09-16,3,0.0082135523613963,3835,0.974163476081454,3937.522946229548,0.9739625780904412,Put,SPXW,SPXW220916P03835000,10.0,0.329,0.0365135381688637,0.9997001391096164,0.3078009328738318,9.999999999999773,2.273736754432321e-13,0.0211990671261681,0.3088681259482634,0.0010671930744315938,0.0010671930744315938
2022-09-16,3,0.0082135523613963,3860,0.980513955065036,3937.522946229548,0.9803117474391404,Put,SPXW,SPXW220916P03860000,14.15,0.3191,0.0365135381688637,0.9997001391096164,0.2981280672935799,14.149999999999864,1.3677947663381929e-13,0.02097193270642,0.2956326594933739,-0.002495407800205962,0.002495407800205962
2022-09-16,3,0.0082135523613963,3875,0.984324242455185,3937.522946229548,0.9841212490483596,Put,SPXW,SPXW220916P03875000,17.450000000000003,0.3143,0.0365135381688637,0.9997001391096164,0.2933342487871991,17.450000000000273,2.700062395888381e-13,0.0209657512128008,0.28762766884951924,-0.005706579937679868,0.005706579937679868
2022-09-16,3,0.0082135523613963,3900,0.9906747214387668,3937.522946229548,0.9904704183970588,Put,SPXW,SPXW220916P03900000,24.450000000000003,0.3069,0.0365135381688637,0.9997001391096164,0.285729639051167,24.450000000041427,4.142464149481384e-11,0.021170360948833,0.2744853494729483,-0.011244289578218714,0.011244289578218714
2022-09-16,3,0.0082135523613963,3915,0.994485008828916,3937.522946229548,0.9942799200062784,Put,SPXW,SPXW220916P03915000,29.65,0.3026,0.0365135381688637,0.9997001391096164,0.2811737988280595,29.649999999999864,1.3500311979441906e-13,0.0214262011719404,0.26699198670265956,-0.014181812125399929,0.014181812125399929
2022-09-16,3,0.0082135523613963,3940,1.000835487812498,3937.522946229548,1.0006290893549774,Call,SPXW,SPXW220916C03940000,39.35,0.2948,0.0365135381688637,0.9997001391096164,0.2850215486531151,39.34999999999991,9.237055564881302e-14,0.0097784513468848,0.2559851996938565,-0.02903634895925855,0.02903634895925855
2022-09-16,3,0.0082135523613963,3955,1.004645775202647,3937.522946229548,1.0044385909641969,Call,SPXW,SPXW220916C03955000,31.85,0.2906,0.0365135381688637,0.9997001391096164,0.2802993858608832,31.85000000000082,8.171241461241152e-13,0.0103006141391167,0.25080473469557185,-0.02949465116531136,0.02949465116531136
2022-09-16,3,0.0082135523613963,3980,1.0109962541862287,3937.522946229548,1.010787760312896,Call,SPXW,SPXW220916C03980000,21.6,0.2851,0.0365135381688637,0.9997001391096164,0.2741769129123898,21.59999999999991,9.237055564881302e-14,0.0109230870876101,0.24542647061883727,-0.02875044229355256,0.02875044229355256
2022-09-16,3,0.0082135523613963,3995,1.0148065415763778,3937.522946229548,1.0145972619221153,Call,SPXW,SPXW220916C03995000,16.75,0.2827,0.0365135381688637,0.9997001391096164,0.271478875570012,16.749999999999545,4.547473508864641e-13,0.0112211244299879,0.24427601426657627,-0.027202861303435716,0.027202861303435716
2022-09-16,3,0.0082135523613963,4020,1.0211570205599596,3937.522946229548,1.0209464312708143,Call,SPXW,SPXW220916C04020000,10.55,0.2796,0.0365135381688637,0.9997001391096164,0.2679331902470094,10.549999999999956,4.618527782440651e-14,0.0116668097529905,0.24532059638368464,-0.02261259386332476,0.02261259386332476
