Start,Initial_V0,Initial_kappa,Initial_theta,Initial_nu,Initial_rho,Initial_H,V0,kappa,theta,nu,rho,H,RMSE,MAE,Success,NFEV,Time_seconds,N_valid_IV,N_invalid_IV
1,0.04,1.5,0.04,0.4,-0.7,0.1,0.07268042820695664,0.8921413298407384,0.07967823626625876,0.6132732271830146,-0.6631580970169537,0.2360295390214657,0.01375996556211586,0.00814919618440147,True,9,399.1525614261627,398,0
3,0.09,2.0,0.08,0.8,-0.8,0.3,0.0726774666124853,0.8896732233318021,0.07971488762203087,0.6128676875091378,-0.6631154499592777,0.23590326434887277,0.013759972030478783,0.00814884202730861,True,9,369.32797169685364,398,0
5,0.12,0.4,0.12,0.3,-0.9,0.35,0.07269885320186258,0.9054315988996692,0.07950365745250651,0.6159881210223669,-0.6630799427007014,0.23679292340606095,0.013759984583863828,0.008154670041514411,True,12,1567.167025566101,398,0
2,0.06,0.8,0.06,0.6,-0.5,0.2,0.0727062214245481,0.9140096485291933,0.07946920103304139,0.6186992581517157,-0.6626189526211288,0.23750975113521197,0.013760049404770902,0.008159211443621438,True,8,483.5618402957916,398,0
4,0.03,3.0,0.1,1.0,-0.4,0.15,0.06928216949460565,2.8182584412754346,0.10083542275894748,0.9244204138280504,-0.014492493959428702,0.22412128071122037,0.03629752886799413,0.027300948748788734,True,10,182.2586169242859,148,250
