Expiration Date,T_days,T,Strike,K_over_S0,Forward,K_over_F0,Option_type,Root,Contract,Market_price,IV_BDD,r_GSW,Discount_factor,IV_market,BS_reconstructed_price,BS_reconstruction_error,IV_BDD_error,IV_RH,Residual_IV,Abs_error_IV
2022-09-14,1,0.0027378507871321,3880,0.9855943382519012,3936.9814263393455,0.9855266204818428,Put,SPXW,SPXW220914P03880000,5.25,0.3606,0.0364992080783356,0.9999000756072076,0.2886238858604807,5.249999999999545,4.547473508864641e-13,0.0719761141395192,0.29528076777987045,0.006656881919389734,0.006656881919389734
2022-09-14,1,0.0027378507871321,3885,0.9868644340486176,3936.9814263393455,0.9867966290133916,Put,SPXW,SPXW220914P03885000,5.95,0.3566,0.0364992080783356,0.9999000756072076,0.2849875000371651,5.949999999997203,2.7968738436356944e-12,0.0716124999628348,0.29253885940269475,0.007551359365529642,0.007551359365529642
2022-09-14,1,0.0027378507871321,3890,0.988134529845334,3936.9814263393455,0.9880666375449404,Put,SPXW,SPXW220914P03890000,6.85,0.355,0.0364992080783356,0.9999000756072076,0.2832657583532689,6.850000000001842,1.84208204245806e-12,0.071734241646731,0.28977956147943434,0.006513803126165452,0.006513803126165452
2022-09-14,1,0.0027378507871321,3895,0.9894046256420505,3936.9814263393455,0.9893366460764892,Put,SPXW,SPXW220914P03895000,7.8,0.3523,0.0364992080783356,0.9999000756072076,0.2805642584811562,7.799999999999841,1.5898393712632244e-13,0.0717357415188437,0.28700350611849207,0.0064392476373358876,0.0064392476373358876
2022-09-14,1,0.0027378507871321,3900,0.9906747214387668,3936.9814263393455,0.9906066546080378,Put,SPXW,SPXW220914P03900000,8.95,0.3512,0.0364992080783356,0.9999000756072076,0.2791690867691719,8.949999999999363,6.359357485052898e-13,0.0720309132308281,0.284211503189488,0.005042416420316109,0.005042416420316109
2022-09-14,1,0.0027378507871321,3905,0.9919448172354832,3936.9814263393455,0.9918766631395866,Put,SPXW,SPXW220914P03905000,10.2,0.3496,0.0364992080783356,0.9999000756072076,0.2773118766041637,10.200000000016644,1.6644463585180347e-11,0.0722881233958362,0.28140457019217185,0.004092693588008178,0.004092693588008178
2022-09-14,1,0.0027378507871321,3910,0.9932149130321996,3936.9814263393455,0.9931466716711354,Put,SPXW,SPXW220914P03910000,11.6,0.3483,0.0364992080783356,0.9999000756072076,0.2756175138855407,11.599999999999454,5.453415496958769e-13,0.0726824861144593,0.2785839667275686,0.0029664528420279,0.0029664528420279
2022-09-14,1,0.0027378507871321,3915,0.994485008828916,3936.9814263393455,0.994416680202684,Put,SPXW,SPXW220914P03915000,13.2,0.3479,0.0364992080783356,0.9999000756072076,0.2746094057231388,13.199999999999818,1.8118839761882557e-13,0.0732905942768611,0.27575123338751234,0.0011418276643735403,0.0011418276643735403
2022-09-14,1,0.0027378507871321,3920,0.9957551046256324,3936.9814263393455,0.9956866887342328,Put,SPXW,SPXW220914P03920000,14.85,0.3459,0.0364992080783356,0.9999000756072076,0.2722052530135102,14.850000000000136,1.3677947663381929e-13,0.0736947469864898,0.27290823562341676,0.0007029826099065883,0.0007029826099065883
2022-09-14,1,0.0027378507871321,3925,0.9970252004223488,3936.9814263393455,0.9969566972657816,Put,SPXW,SPXW220914P03925000,16.75,0.3453,0.0364992080783356,0.9999000756072076,0.2709167616689267,16.749999999977945,2.205524651799351e-11,0.0743832383310733,0.27005721252421294,-0.000859549144713756,0.000859549144713756
2022-09-14,1,0.0027378507871321,3930,0.998295296219065,3936.9814263393455,0.9982267057973304,Put,SPXW,SPXW220914P03930000,18.75,0.3438,0.0364992080783356,0.9999000756072076,0.2687540216100699,18.75,0.0,0.07504597838993,0.26720083036641423,-0.0015531912436556605,0.0015531912436556605
2022-09-14,1,0.0027378507871321,3935,0.9995653920157814,3936.9814263393455,0.9994967143288792,Put,SPXW,SPXW220914P03935000,20.9,0.3421,0.0364992080783356,0.9999000756072076,0.2662885608806289,20.8999999999985,1.4992451724538114e-12,0.0758114391193711,0.26434224024427766,-0.0019463206363512509,0.0019463206363512509
2022-09-14,1,0.0027378507871321,3940,1.000835487812498,3936.9814263393455,1.000766722860428,Call,SPXW,SPXW220914C03940000,22.450000000000003,0.3317,0.0364992080783356,0.9999000756072076,0.2910882002499617,22.450000000025057,2.5053736862901133e-11,0.0406117997500383,0.2614851385645869,-0.0296030616853748,0.0296030616853748
2022-09-14,1,0.0027378507871321,3945,1.002105583609214,3936.9814263393455,1.002036731391977,Call,SPXW,SPXW220914C03945000,19.950000000000003,0.3293,0.0364992080783356,0.9999000756072076,0.2886534931698506,19.950000000000045,4.263256414560601e-14,0.0406465068301493,0.25863382837597654,-0.03001966479387408,0.03001966479387408
