T,T_days_effective,N,RMSE__base_80_128_L10,RMSE__fine_160_256_L10,RMSE__veryfine_320_512_L10,RMSE__fine_160_256_L8,RMSE__fine_160_256_L12,Mean_abs_delta_IV_160_256_vs_80_128,Max_abs_delta_IV_160_256_vs_80_128
0.0027378507871321,0.9999999999999996,23,0.02242337240468279,0.022148518671659047,0.022017677089671745,0.02214851867165154,0.02214851867165835,0.0004814134314619042,0.0005193109324101997
0.007472051106548,2.729166666666657,5,0.011052281431435938,0.0110338466724022,0.011031965714789623,0.011033846672400404,0.011033846672402753,0.0004658628006710186,0.0005060529051159057
0.0082135523613963,2.9999999999999987,20,0.03904359052893173,0.03863175325232747,0.03843436325073292,0.03863175325247645,0.03863175325237146,0.000504580939936973,0.0006676745854989341
0.0191649555099247,6.9999999999999964,25,0.027462089222389807,0.02785056084546677,0.028039508714258483,0.027850560845465167,0.02785056084579335,0.00043974044788359755,0.000513231030090544
0.0410677618069815,14.999999999999991,25,0.011476353670972793,0.011743293436080667,0.011875713825287203,0.011743293435842453,0.011743293421565163,0.00040417542158898144,0.000545636683398798
0.0848733744010951,30.999999999999986,25,0.01147960116493909,0.011744104189381176,0.011874713951718047,0.01174410418793469,0.011744103887590996,0.0003728834975887807,0.000553123446607573
0.1799566506958704,65.72916666666667,14,0.009482874220855399,0.009633574254723904,0.009710246923391232,0.009633574334668356,0.009633578850574222,0.00033649524447923067,0.0005004157329173142
0.1806981519507187,66.0,11,0.0060474569786583545,0.006264196139860743,0.006371458443564043,0.00626419674142472,0.006264204557095409,0.0003089191785032384,0.00044212300208862354
0.2566164727355692,93.72916666666666,7,0.005580178309642534,0.005812274687287093,0.0059233198259007695,0.005812277122150526,0.005812334861087477,0.0002830988024023088,0.00035519995592347975
0.2573579739904175,93.99999999999999,18,0.006193552659971651,0.0063251563777918214,0.006392061480472405,0.0063251580792994845,0.00632518884229988,0.00029073999444676385,0.0004283289710149685
0.3524412502851928,128.72916666666666,14,0.006167822463730742,0.006396123466412078,0.006502911527648867,0.006396129331417582,0.006396299833448536,0.00026462760911036276,0.00033014128043101776
0.3531827515400411,129.0,11,0.00470850773928338,0.0047568794316381795,0.004782218891567305,0.004756882087435067,0.004757022243934173,0.0002501651236372486,0.00037219770914870276
0.5057608943645905,184.72916666666669,25,0.005419082668978088,0.005463319018254977,0.005483261381047573,0.005463328826695041,0.005463697675992969,0.00023725476361538656,0.0003207842724641252
0.601585671914214,219.72916666666666,25,0.004119289827926978,0.004081324703928456,0.004066291026086045,0.004081326417070683,0.004081381629077729,0.0002414704608057938,0.00032553651485672797
0.6782454939539129,247.72916666666669,25,0.004621838168705425,0.004539936079219516,0.004508019908735901,0.004539929041223757,0.00453967949131863,0.00024970233520153485,0.00032736978009484385
0.7549053159936117,275.7291666666667,25,0.00488420370045362,0.004808935150248935,0.0047807413620012725,0.004808928649018255,0.0048087040278863655,0.00026534659594051657,0.00034571674351702164
0.8507300935432353,310.7291666666667,25,0.004194133396361841,0.004002341550835356,0.003947516451631437,0.0040022805749586835,0.004000400606335499,0.0002947115245937337,0.000394570824503504
1.004049737622633,366.7291666666667,25,0.004853052189706999,0.004739367034744617,0.004714780359263442,0.004739327533672174,0.004738177426541373,0.0003916789161524026,0.0005372836445853846
1.2531941592516542,457.7291666666667,25,0.004274694968149764,0.004156204588610026,0.004147244951867061,0.004156177486392484,0.00415546327797682,0.0007071727873991662,0.0010190158292316953
1.7706479580196213,646.7291666666666,25,0.0022887429411559404,0.003441202201553226,0.0034852012922674904,0.0034415759165865732,0.0034446133485201715,0.002212197832184675,0.0029693160337848634
