Label,Family,N_time,N_cos,L,N_valid_IV,N_invalid_IV,RMSE,MAE,Max_error,Time_seconds,Mean_abs_delta_IV_vs_base,RMS_delta_IV_vs_base,Max_abs_delta_IV_vs_base,Mean_abs_delta_IV_vs_L10fine,Max_abs_delta_IV_vs_L10fine,Delta_RMSE_vs_base
base_80_128_L10,resolution,80,128,10.0,398,0,0.013759969916415201,0.008151193597996239,0.1002196123104589,5.13878870010376,0.0,0.0,0.0,0.0004791016710810054,0.0029693160337848634,0.0
fine_160_256_L10,resolution,160,256,10.0,398,0,0.013771465191842405,0.0082098238927605,0.09955193772495996,11.784434080123901,0.0004791016710810054,0.0006733956522193971,0.0029693160337848634,0.0,0.0,1.1495275427203869e-05
veryfine_320_512_L10,resolution,320,512,10.0,398,0,0.01377524867981178,0.008224161989762833,0.09923384165887822,54.67095112800598,0.0006115294582100708,0.0007677718868565991,0.003024091312355981,0.0001324277871290654,0.0003180960660817411,1.5278763396579104e-05
fine_160_256_L8,L,160,256,8.0,398,0,0.013771468749181217,0.00820983221249349,0.09955193772569704,9.507349967956543,0.0004791844420963788,0.000673537941422633,0.002969989774016135,8.277741160759652e-08,6.737402312717578e-07,1.1498832766016279e-05
fine_160_256_L12,L,160,256,12.0,398,0,0.01377144925203459,0.008209419761073531,0.0995519377251044,12.36374545097351,0.00048094993910821474,0.0006754724718056914,0.0029754380214702114,1.8483477190654985e-06,1.5120625559084111e-05,1.1479335619388187e-05
