Expiration Date,T_days,T,Strike,K_over_S0,Forward,K_over_F0,Option_type,Root,Contract,Market_price,IV_BDD,r_GSW,Discount_factor,IV_market,BS_reconstructed_price,BS_reconstruction_error,IV_BDD_error,IV_RH__base_80_128_L10,Residual__base_80_128_L10,IV_RH__fine_160_256_L10,Residual__fine_160_256_L10,IV_RH__veryfine_320_512_L10,Residual__veryfine_320_512_L10,IV_RH__fine_160_256_L8,Residual__fine_160_256_L8,IV_RH__fine_160_256_L12,Residual__fine_160_256_L12,Delta_IV__160_256_vs_80_128,Delta_IV__320_512_vs_160_256,Delta_IV__L8_vs_L10_fine,Delta_IV__L12_vs_L10_fine
2022-09-14,1,0.0027378507871321,3880,0.9855943382519012,3936.9814263393455,0.9855266204818428,Put,SPXW,SPXW220914P03880000,5.25,0.3606,0.0364992080783356,0.9999000756072076,0.2886238858604807,5.249999999999545,4.547473508864641e-13,0.0719761141395192,0.2952807623286041,0.006656876468123407,0.2958000732610143,0.007176187400533607,0.2960513260773718,0.007427440216891068,0.2958000732610365,0.007176187400555811,0.2958000732610143,0.007176187400533607,0.0005193109324101997,0.0002512528163574612,2.220446049250313e-14,0.0
2022-09-14,1,0.0027378507871321,3885,0.9868644340486176,3936.9814263393455,0.9867966290133916,Put,SPXW,SPXW220914P03885000,5.95,0.3566,0.0364992080783356,0.9999000756072076,0.2849875000371651,5.949999999997203,2.7968738436356944e-12,0.0716124999628348,0.2925388539302969,0.007551353893131774,0.29305441495213963,0.008066914914974521,0.2933039328579648,0.00831643282079969,0.2930544149521472,0.00806691491498207,0.2930544149521472,0.00806691491498207,0.0005155610218427475,0.00024951790582516953,7.549516567451064e-15,7.549516567451064e-15
2022-09-14,1,0.0027378507871321,3890,0.988134529845334,3936.9814263393455,0.9880666375449404,Put,SPXW,SPXW220914P03890000,6.85,0.355,0.0364992080783356,0.9999000756072076,0.2832657583532689,6.850000000001842,1.84208204245806e-12,0.071734241646731,0.28977955598506006,0.006513797631791163,0.2902914042502082,0.007025645896939325,0.29053920028341107,0.007273441930142177,0.29029140425023403,0.007025645896965138,0.2902914042502082,0.007025645896939325,0.0005118482651481626,0.0002477960332028517,2.581268532253489e-14,0.0
2022-09-14,1,0.0027378507871321,3895,0.9894046256420505,3936.9814263393455,0.9893366460764892,Put,SPXW,SPXW220914P03895000,7.8,0.3523,0.0364992080783356,0.9999000756072076,0.2805642584811562,7.799999999999841,1.5898393712632244e-13,0.0717357415188437,0.2870035006012949,0.006439242120138744,0.28751167586513326,0.006947417383977084,0.2877577641509529,0.007193505669796707,0.28751167586515336,0.006947417383997179,0.28751167586513326,0.006947417383977084,0.0005081752638383397,0.0002460882858196234,2.0095036745715333e-14,0.0
2022-09-14,1,0.0027378507871321,3900,0.9906747214387668,3936.9814263393455,0.9906066546080378,Put,SPXW,SPXW220914P03900000,8.95,0.3512,0.0364992080783356,0.9999000756072076,0.2791690867691719,8.949999999999363,6.359357485052898e-13,0.0720309132308281,0.28421149764868664,0.005042410879514736,0.28471604225270003,0.0055469554835281265,0.2849604380046009,0.00579135123542901,0.28471604225270536,0.005546955483533456,0.2847160422527015,0.00554695548352957,0.0005045446040133905,0.00024439575190088325,5.329070518200751e-15,1.4432899320127035e-15
2022-09-14,1,0.0027378507871321,3905,0.9919448172354832,3936.9814263393455,0.9918766631395866,Put,SPXW,SPXW220914P03905000,10.2,0.3496,0.0364992080783356,0.9999000756072076,0.2773118766041637,10.200000000016644,1.6644463585180347e-11,0.0722881233958362,0.28140456462706376,0.004092688022900082,0.28190552344332426,0.004593646839160581,0.28214824294815405,0.004836366343990373,0.28190552344333525,0.004593646839171572,0.28190552344332426,0.004593646839160581,0.0005009588162604994,0.00024271950482979143,1.099120794378905e-14,0.0
2022-09-14,1,0.0027378507871321,3910,0.9932149130321996,3936.9814263393455,0.9931466716711354,Put,SPXW,SPXW220914P03910000,11.6,0.3483,0.0364992080783356,0.9999000756072076,0.2756175138855407,11.599999999999454,5.453415496958769e-13,0.0726824861144593,0.2785839611376012,0.0029664472520605223,0.27908138141421235,0.0034638675286716714,0.27932244197915196,0.0037049280936112816,0.2790813814142236,0.00346386752868294,0.27908138141421235,0.0034638675286716714,0.0004974202766111491,0.00024106056493961026,1.1268763699945339e-14,0.0
2022-09-14,1,0.0027378507871321,3915,0.994485008828916,3936.9814263393455,0.994416680202684,Put,SPXW,SPXW220914P03915000,13.2,0.3479,0.0364992080783356,0.9999000756072076,0.2746094057231388,13.199999999999818,1.8118839761882557e-13,0.0732905942768611,0.2757512277721219,0.00114182204898311,0.27624515888445245,0.0016357531613136467,0.27648457874833027,0.0018751730251914678,0.2762451588844719,0.0016357531613330756,0.2762451588844561,0.0016357531613173104,0.0004939311123305368,0.0002394198638778211,1.942890293094024e-14,3.6637359812630166e-15
2022-09-14,1,0.0027378507871321,3920,0.9957551046256324,3936.9814263393455,0.9956866887342328,Put,SPXW,SPXW220914P03920000,14.85,0.3459,0.0364992080783356,0.9999000756072076,0.2722052530135102,14.850000000000136,1.3677947663381929e-13,0.0736947469864898,0.27290822998217124,0.0007029769686610621,0.27339872306022295,0.0011934700467127746,0.27363652125414584,0.0014312682406356636,0.27339872306023594,0.0011934700467257642,0.2733987230602258,0.0011934700467156056,0.0004904930780517125,0.00023779819392288903,1.2989609388114332e-14,2.831068712794149e-15
2022-09-14,1,0.0027378507871321,3925,0.9970252004223488,3936.9814263393455,0.9969566972657816,Put,SPXW,SPXW220914P03925000,16.75,0.3453,0.0364992080783356,0.9999000756072076,0.2709167616689267,16.749999999977945,2.205524651799351e-11,0.0743832383310733,0.27005720685692053,-0.0008595548120061691,0.2705443142666885,-0.0003724474022381852,0.2707805104139164,-0.00013625125501032231,0.27054431426669956,-0.00037244740222713846,0.2705443142666885,-0.0003724474022381852,0.00048710740976798395,0.00023619614722786286,1.1046719095020308e-14,0.0
2022-09-14,1,0.0027378507871321,3930,0.998295296219065,3936.9814263393455,0.9982267057973304,Put,SPXW,SPXW220914P03930000,18.75,0.3438,0.0364992080783356,0.9999000756072076,0.2687540216100699,18.75,0.0,0.07504597838993,0.26720082467312833,-0.0015531969369415588,0.2676845993147723,-0.0010694222952976062,0.2679192133561551,-0.0008348082539147983,0.26768459931478467,-0.0010694222952852273,0.2676845993147723,-0.0010694222952976062,0.00048377464164395256,0.00023461404138280795,1.2378986724570495e-14,0.0
2022-09-14,1,0.0027378507871321,3935,0.9995653920157814,3936.9814263393455,0.9994967143288792,Put,SPXW,SPXW220914P03935000,20.9,0.3421,0.0364992080783356,0.9999000756072076,0.2662885608806289,20.8999999999985,1.4992451724538114e-12,0.0758114391193711,0.26434223452534267,-0.001946326355286243,0.2648227289121393,-0.0014658319684895948,0.2650557807450107,-0.0012327801356182277,0.2648227289121561,-0.0014658319684728305,0.2648227289121504,-0.0014658319684784926,0.00048049438679664824,0.0002330518328713671,1.6764367671839864e-14,1.1102230246251565e-14
2022-09-14,1,0.0027378507871321,3940,1.000835487812498,3936.9814263393455,1.000766722860428,Call,SPXW,SPXW220914C03940000,22.450000000000003,0.3317,0.0364992080783356,0.9999000756072076,0.2910882002499617,22.450000000025057,2.5053736862901133e-11,0.0406117997500383,0.26148513282067626,-0.029603067429285423,0.261962397910617,-0.029125802339344697,0.2621939069291204,-0.028894293320841258,0.26196239791062353,-0.029125802339338147,0.26196239791060993,-0.029125802339351747,0.00047726508994072603,0.00023150901850343963,6.5503158452884236e-15,-7.049916206369744e-15
