Parameter,DE,DE_TRF
V0,0.08034100314072608,0.07269029311219037
kappa,4.52684246348855,0.90173188081718
theta,0.07362726675714415,0.07958936050282589
nu,1.2836810323241983,0.6155684459254075
rho,-0.7043528614684706,-0.6630900630788809
H,0.3641705242615119,0.2367517177871451
