Expiration Date,T_days,T,Strike,K_over_S0,Forward,K_over_F0,Option_type,Root,Contract,Market_price,IV_BDD,r_GSW,Discount_factor
2022-09-14,1,0.0027378507871321013,3880,0.9855943382519013,3936.9814263393455,0.9855266204818427,Put,SPXW,SPXW220914P03880000,5.25,0.3606,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3885,0.9868644340486177,3936.9814263393455,0.9867966290133915,Put,SPXW,SPXW220914P03885000,5.95,0.3566,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3890,0.9881345298453341,3936.9814263393455,0.9880666375449403,Put,SPXW,SPXW220914P03890000,6.85,0.355,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3895,0.9894046256420505,3936.9814263393455,0.9893366460764891,Put,SPXW,SPXW220914P03895000,7.8,0.3523,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3900,0.9906747214387668,3936.9814263393455,0.9906066546080378,Put,SPXW,SPXW220914P03900000,8.95,0.3512,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3905,0.9919448172354832,3936.9814263393455,0.9918766631395866,Put,SPXW,SPXW220914P03905000,10.2,0.3496,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3910,0.9932149130321996,3936.9814263393455,0.9931466716711354,Put,SPXW,SPXW220914P03910000,11.600000000000001,0.3483,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3915,0.9944850088289159,3936.9814263393455,0.9944166802026841,Put,SPXW,SPXW220914P03915000,13.2,0.3479,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3920,0.9957551046256323,3936.9814263393455,0.9956866887342328,Put,SPXW,SPXW220914P03920000,14.85,0.3459,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3925,0.9970252004223487,3936.9814263393455,0.9969566972657816,Put,SPXW,SPXW220914P03925000,16.75,0.3453,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3930,0.998295296219065,3936.9814263393455,0.9982267057973304,Put,SPXW,SPXW220914P03930000,18.75,0.3438,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3935,0.9995653920157814,3936.9814263393455,0.9994967143288792,Put,SPXW,SPXW220914P03935000,20.9,0.3421,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3940,1.0008354878124979,3936.9814263393455,1.000766722860428,Call,SPXW,SPXW220914C03940000,22.450000000000003,0.3317,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3945,1.002105583609214,3936.9814263393455,1.0020367313919767,Call,SPXW,SPXW220914C03945000,19.950000000000003,0.3293,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3950,1.0033756794059305,3936.9814263393455,1.0033067399235254,Call,SPXW,SPXW220914C03950000,17.6,0.3281,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3955,1.004645775202647,3936.9814263393455,1.0045767484550743,Call,SPXW,SPXW220914C03955000,15.45,0.3264,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3960,1.0059158709993632,3936.9814263393455,1.005846756986623,Call,SPXW,SPXW220914C03960000,13.45,0.3243,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3965,1.0071859667960796,3936.9814263393455,1.0071167655181719,Call,SPXW,SPXW220914C03965000,11.600000000000001,0.3217,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3970,1.008456062592796,3936.9814263393455,1.0083867740497205,Call,SPXW,SPXW220914C03970000,10.0,0.3205,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3975,1.0097261583895123,3936.9814263393455,1.0096567825812692,Call,SPXW,SPXW220914C03975000,8.65,0.3208,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3980,1.0109962541862287,3936.9814263393455,1.0109267911128181,Call,SPXW,SPXW220914C03980000,7.3,0.3183,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3985,1.0122663499829452,3936.9814263393455,1.0121967996443668,Call,SPXW,SPXW220914C03985000,6.15,0.3168,0.036499208078335656,0.9999000756072077
2022-09-14,1,0.0027378507871321013,3990,1.0135364457796614,3936.9814263393455,1.0134668081759155,Call,SPXW,SPXW220914C03990000,5.15,0.3155,0.036499208078335656,0.9999000756072077
2022-09-15,2,0.0054757015742642025,3835,0.974163476081454,3937.2520999691696,0.9740295776412259,Put,SPXW,SPXW220915P03835000,5.45,0.3402,0.0365063838392567,0.9998001219148274
2022-09-15,2,0.0054757015742642025,3840,0.9754335718781704,3937.2520999691696,0.9752994988637047,Put,SPXW,SPXW220915P03840000,5.95,0.3375,0.0365063838392567,0.9998001219148274
