T,Effective_days,Calendar_days,Root,N_total,Skew_ATM,IV_ATM_estimee,R2_local,N_local,K_over_F0_min_local,K_over_F0_max_local,Brackets_ATM
0.0027378507871321,0.9999999999999996,1,SPXW,23,2.784770036303836,0.27910773110914605,0.5359784283694422,7,0.9956866887342328,1.0033067399235254,True
0.007472051106548,2.729166666666657,3,SPX,5,-0.9809490562387672,0.26366835370914965,0.9007669468550734,5,0.9765204421633366,1.0171558831896392,True
0.0082135523613963,2.9999999999999987,3,SPXW,20,-0.626691925811293,0.28150907948198833,0.8747416098427534,7,0.9841212490483596,1.0145972619221153,True
0.0191649555099247,6.9999999999999964,7,SPXW,25,-0.5816361023428706,0.23392849892465675,0.9458180325452217,7,0.9889280568316332,1.0143177373664631,True
0.0410677618069815,14.999999999999991,15,SPXW,25,-0.7702014300459676,0.2443942430734759,0.9994198185461779,7,0.9845750763183512,1.015025851874589,True
0.0848733744010951,30.999999999999986,31,SPXW,25,-0.7296990502239287,0.24032574962803874,0.9954400325073002,7,0.9746084470690825,1.0215011811933423,True
0.1799566506958704,65.72916666666667,66,SPX,14,-0.5115288108320043,0.23954643145428337,0.9857468447543453,7,0.9418861209089888,1.1024492582988434,True
0.1806981519507187,66.0,66,SPXW,11,-0.517557483627644,0.2388560461818679,0.9971402521905555,7,0.9102617185444812,1.0847285479321735,True
0.2566164727355692,93.72916666666666,94,SPX,7,-0.4454614397661318,0.23831969454748983,0.9953275433814313,7,0.8012144240796042,1.135579498695502,True
0.2573579739904175,93.99999999999999,94,SPXW,18,-0.4857793988475627,0.23925092139089169,0.9924513541011898,7,0.9273719221969822,1.0850882354957887,True
0.3524412502851928,128.72916666666666,129,SPX,14,-0.40701238354530095,0.23617166706954815,0.99953381262418,7,0.8986233736581759,1.084892644388442,True
0.3531827515400411,129.0,129,SPXW,11,-0.4205161710701465,0.2373050212703758,0.9996407419873685,7,0.9627918649086008,1.1012325252222557,True
0.5057608943645905,184.72916666666669,185,SPX,25,-0.36734501898885685,0.23865364638894368,0.9995528087976235,7,0.9338168850544544,1.0591614333839114,True
0.601585671914214,219.72916666666666,220,SPX,25,-0.32865492940341745,0.23878483767997655,0.9990023081413834,7,0.9314148447946398,1.0564369716127122,True
0.6782454939539129,247.72916666666669,248,SPX,25,-0.3220700014524507,0.2390540234749207,0.9991941219604319,7,0.9482041064147828,1.0792059895378778,True
0.7549053159936117,275.7291666666667,276,SPX,25,-0.30541970338417834,0.2385609168896075,0.9987794561085482,7,0.92756318065199,1.0645188180636933,True
0.8507300935432353,310.7291666666667,311,SPX,25,-0.2658513881906854,0.23794104856107037,0.988869091831425,7,0.943783786569874,1.0431294483140714,True
1.004049737622633,366.7291666666667,367,SPX,25,-0.2625703968048626,0.2377001909000283,0.9948285735129516,7,0.9398660916126113,1.0697160121643534,True
1.2531941592516542,457.7291666666667,458,SPX,25,-0.22858058900821684,0.2364772685136654,0.9919671301500003,7,0.939694947905447,1.0870980769886545,True
1.7706479580196213,646.7291666666666,647,SPX,25,-0.14633744586634762,0.23186778148982115,0.9107474360204617,7,0.9631906421478224,1.0358842755174693,True
