Maturity_years,Zero_coupon_rate_decimal,Zero_coupon_rate_percent,Discount_factor
0.002737850787,0.036499208078,3.649920807834,0.999900075607
0.007738982428,0.036512299595,3.651229959503,0.999717471874
0.012740114068,0.036525319708,3.652531970812,0.999534771513
0.017741245708,0.036538268653,3.653826865285,0.999351975657
0.022742377349,0.036551146664,3.655114666369,0.999169085431
0.027743508989,0.036563953975,3.656395397468,0.998986101957
0.032744640630,0.036576690819,3.657669081898,0.998803026349
0.037745772270,0.036589357429,3.658935742924,0.998619859718
0.042746903911,0.036601954037,3.660195403750,0.998436603168
0.047748035551,0.036614480875,3.661448087513,0.998253257798
0.052749167191,0.036626938173,3.662693817286,0.998069824703
0.057750298832,0.036639326161,3.663932616085,0.997886304971
0.062751430472,0.036651645069,3.665164506862,0.997702699686
0.067752562113,0.036663895125,3.666389512505,0.997519009924
0.072753693753,0.036676076558,3.667607655843,0.997335236760
0.077754825394,0.036688189596,3.668818959638,0.997151381260
0.082755957034,0.036700234466,3.670023446598,0.996967444487
0.087757088674,0.036712211394,3.671221139365,0.996783427499
0.092758220315,0.036724120605,3.672412060520,0.996599331346
0.097759351955,0.036735962326,3.673596232582,0.996415157077
0.102760483596,0.036747736780,3.674773678014,0.996230905732
0.107761615236,0.036759444192,3.675944419210,0.996046578348
0.112762746877,0.036771084785,3.677108478512,0.995862175957
0.117763878517,0.036782658782,3.678265878196,0.995677699584
0.122765010157,0.036794166405,3.679416640478,0.995493150252
0.127766141798,0.036805607875,3.680560787517,0.995308528977
0.132767273438,0.036816983414,3.681698341409,0.995123836769
0.137768405079,0.036828293242,3.682829324190,0.994939074634
0.142769536719,0.036839537578,3.683953757839,0.994754243575
0.147770668360,0.036850716643,3.685071664272,0.994569344587
0.152771800000,0.036861830653,3.686183065347,0.994384378661
0.157772931640,0.036872879829,3.687287982864,0.994199346784
0.162774063281,0.036883864386,3.688386438561,0.994014249937
0.167775194921,0.036894784541,3.689478454119,0.993829089097
0.172776326562,0.036905640512,3.690564051159,0.993643865235
0.177777458202,0.036916432512,3.691643251246,0.993458579317
0.182778589842,0.036927160759,3.692716075882,0.993273232307
0.187779721483,0.036937825465,3.693782546513,0.993087825160
0.192780853123,0.036948426845,3.694842684527,0.992902358829
