Expiration Date,T_days,T,Strike,K_over_S0,Forward,K_over_F0,Option_type,Root,Contract,Market_price,IV_BDD,r_GSW,Discount_factor,IV_market,BS_reconstructed_price,BS_reconstruction_error,IV_BDD_error
2022-09-14,1,0.0027378507871321,3880,0.9855943382519012,3936.9814263393455,0.9855266204818428,Put,SPXW,SPXW220914P03880000,5.25,0.3606,0.0364992080783356,0.9999000756072076,0.2886238858604807,5.249999999999545,4.547473508864641e-13,0.07197611413951926
2022-09-14,1,0.0027378507871321,3885,0.9868644340486176,3936.9814263393455,0.9867966290133916,Put,SPXW,SPXW220914P03885000,5.95,0.3566,0.0364992080783356,0.9999000756072076,0.2849875000371651,5.949999999997203,2.7968738436356944e-12,0.07161249996283486
2022-09-14,1,0.0027378507871321,3890,0.988134529845334,3936.9814263393455,0.9880666375449404,Put,SPXW,SPXW220914P03890000,6.85,0.355,0.0364992080783356,0.9999000756072076,0.2832657583532689,6.850000000001842,1.8420820424580597e-12,0.07173424164673109
2022-09-14,1,0.0027378507871321,3895,0.9894046256420505,3936.9814263393455,0.9893366460764892,Put,SPXW,SPXW220914P03895000,7.8,0.3523,0.0364992080783356,0.9999000756072076,0.28056425848115624,7.799999999999841,1.5898393712632242e-13,0.07173574151884377
2022-09-14,1,0.0027378507871321,3900,0.9906747214387668,3936.9814263393455,0.9906066546080378,Put,SPXW,SPXW220914P03900000,8.95,0.3512,0.0364992080783356,0.9999000756072076,0.2791690867691719,8.949999999999363,6.359357485052897e-13,0.07203091323082811
2022-09-14,1,0.0027378507871321,3905,0.9919448172354832,3936.9814263393455,0.9918766631395866,Put,SPXW,SPXW220914P03905000,10.2,0.3496,0.0364992080783356,0.9999000756072076,0.27731187660416373,10.200000000016644,1.6644463585180347e-11,0.07228812339583629
2022-09-14,1,0.0027378507871321,3910,0.9932149130321996,3936.9814263393455,0.9931466716711354,Put,SPXW,SPXW220914P03910000,11.6,0.3483,0.0364992080783356,0.9999000756072076,0.2756175138855407,11.599999999999454,5.453415496958769e-13,0.07268248611445932
2022-09-14,1,0.0027378507871321,3915,0.994485008828916,3936.9814263393455,0.994416680202684,Put,SPXW,SPXW220914P03915000,13.2,0.3479,0.0364992080783356,0.9999000756072076,0.27460940572313886,13.199999999999818,1.8118839761882555e-13,0.07329059427686113
2022-09-14,1,0.0027378507871321,3920,0.9957551046256324,3936.9814263393455,0.9956866887342328,Put,SPXW,SPXW220914P03920000,14.85,0.3459,0.0364992080783356,0.9999000756072076,0.2722052530135102,14.850000000000136,1.3677947663381929e-13,0.07369474698648981
2022-09-14,1,0.0027378507871321,3925,0.9970252004223488,3936.9814263393455,0.9969566972657816,Put,SPXW,SPXW220914P03925000,16.75,0.3453,0.0364992080783356,0.9999000756072076,0.2709167616689267,16.749999999977945,2.205524651799351e-11,0.0743832383310733
2022-09-14,1,0.0027378507871321,3930,0.998295296219065,3936.9814263393455,0.9982267057973304,Put,SPXW,SPXW220914P03930000,18.75,0.3438,0.0364992080783356,0.9999000756072076,0.26875402161006995,18.75,0.0,0.07504597838993005
2022-09-14,1,0.0027378507871321,3935,0.9995653920157814,3936.9814263393455,0.9994967143288792,Put,SPXW,SPXW220914P03935000,20.9,0.3421,0.0364992080783356,0.9999000756072076,0.2662885608806289,20.8999999999985,1.4992451724538114e-12,0.0758114391193711
2022-09-14,1,0.0027378507871321,3940,1.000835487812498,3936.9814263393455,1.000766722860428,Call,SPXW,SPXW220914C03940000,22.450000000000003,0.3317,0.0364992080783356,0.9999000756072076,0.2910882002499617,22.450000000025057,2.5053736862901133e-11,0.04061179975003831
2022-09-14,1,0.0027378507871321,3945,1.002105583609214,3936.9814263393455,1.002036731391977,Call,SPXW,SPXW220914C03945000,19.950000000000003,0.3293,0.0364992080783356,0.9999000756072076,0.2886534931698506,19.950000000000045,4.263256414560601e-14,0.040646506830149365
2022-09-14,1,0.0027378507871321,3950,1.0033756794059303,3936.9814263393455,1.0033067399235254,Call,SPXW,SPXW220914C03950000,17.6,0.3281,0.0364992080783356,0.9999000756072076,0.2859716672200136,17.599999999997863,2.1387336346379016e-12,0.0421283327799864
2022-09-14,1,0.0027378507871321,3955,1.004645775202647,3936.9814263393455,1.0045767484550745,Call,SPXW,SPXW220914C03955000,15.45,0.3264,0.0364992080783356,0.9999000756072076,0.2836443763139483,15.450000000000045,4.618527782440651e-14,0.042755623686051736
2022-09-14,1,0.0027378507871321,3960,1.0059158709993632,3936.9814263393455,1.005846756986623,Call,SPXW,SPXW220914C03960000,13.45,0.3243,0.0364992080783356,0.9999000756072076,0.28104082216151216,13.450000000000273,2.7355895326763857e-13,0.04325917783848782
2022-09-14,1,0.0027378507871321,3965,1.0071859667960796,3936.9814263393455,1.007116765518172,Call,SPXW,SPXW220914C03965000,11.6,0.3217,0.0364992080783356,0.9999000756072076,0.2781468758099723,11.599999999999909,9.059419880941277e-14,0.04355312419002766
2022-09-14,1,0.0027378507871321,3970,1.008456062592796,3936.9814263393455,1.0083867740497203,Call,SPXW,SPXW220914C03970000,10.0,0.3205,0.0364992080783356,0.9999000756072076,0.2763855256079504,10.0,0.0,0.04411447439204963
2022-09-14,1,0.0027378507871321,3975,1.0097261583895123,3936.9814263393455,1.0096567825812692,Call,SPXW,SPXW220914C03975000,8.65,0.3208,0.0364992080783356,0.9999000756072076,0.27600425662037004,8.649999999993838,6.162181875879469e-12,0.04479574337962994
2022-09-14,1,0.0027378507871321,3980,1.0109962541862287,3936.9814263393455,1.010926791112818,Call,SPXW,SPXW220914C03980000,7.3,0.3183,0.0364992080783356,0.9999000756072076,0.27334427312436566,7.299999999999727,2.7267077484793845e-13,0.04495572687563437
2022-09-14,1,0.0027378507871321,3985,1.0122663499829452,3936.9814263393455,1.0121967996443668,Call,SPXW,SPXW220914C03985000,6.15,0.3168,0.0364992080783356,0.9999000756072076,0.27150093715849855,6.149999999999977,2.3092638912203256e-14,0.04529906284150148
2022-09-14,1,0.0027378507871321,3990,1.0135364457796614,3936.9814263393455,1.0134668081759155,Call,SPXW,SPXW220914C03990000,5.15,0.3155,0.0364992080783356,0.9999000756072076,0.2698860673591935,5.150000000000205,2.042810365310288e-13,0.04561393264080649
2022-09-16,3,0.007472051106548,3845,0.9767036676748868,3937.4495750257634,0.9765204421633366,Put,SPX,SPX220916P03845000,9.15,0.3146,0.0365116026519631,0.9997272206500564,0.29216715711319025,9.14999999999975,2.504663143554353e-13,0.022432842886809745
